ID,grupo_de_prueba,subgrupo,variante,texto,texto_normalizado,resultado_esperado,label_esperado,por_que,pred_mbert,conf_mbert,pred_xlmr,conf_xlmr,ok_mbert,clase_mbert,ok_xlmr,clase_xlmr
ADV-0001,A. Ofuscación de groserías,Sos una puta barata,original,Sos una puta barata,Sos una puta barata,Lenguaje Ofensivo,1,,1,0.9878935786810229,1,0.4829762563944857,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0002,A. Ofuscación de groserías,Sos una puta barata,asterisco,Sos una p*ta barata,Sos una p*ta barata,Lenguaje Ofensivo,1,,1,0.9829358584063077,1,0.922924394360612,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0003,A. Ofuscación de groserías,Sos una puta barata,arroba,Sos una put@ barata,Sos una put@ barata,Lenguaje Ofensivo,1,,1,0.9856609933051405,1,0.9109132303924441,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0004,A. Ofuscación de groserías,Sos una puta barata,numeral,Sos una p#ta barata,Sos una p#ta barata,Lenguaje Ofensivo,1,,0,0.8742455185210768,1,0.8084781644307795,False,No Tóxico,True,Lenguaje Ofensivo
ADV-0005,A. Ofuscación de groserías,Sos una puta barata,leetspeak,Sos una pu74 barata,Sos una pu74 barata,Lenguaje Ofensivo,1,,1,0.9827930430686359,1,0.8960377173488904,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0006,A. Ofuscación de groserías,Sos una puta barata,vocal_v,Sos una pvta barata,Sos una pvta barata,Lenguaje Ofensivo,1,,1,0.9858029167565178,1,0.939559690623859,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0007,A. Ofuscación de groserías,Sos una puta barata,espaciado,Sos una p u t a barata,Sos una p u t a barata,Lenguaje Ofensivo,1,,1,0.9043558262171137,1,0.566965440085128,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0008,A. Ofuscación de groserías,Sos una puta barata,repeticion,Sos una puuuta barata,Sos una puuuta barata,Lenguaje Ofensivo,1,,1,0.9865159579960942,1,0.8342789419416609,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0009,A. Ofuscación de groserías,Qué mierda de gente,original,Qué mierda de gente,Qué mierda de gente,Lenguaje Ofensivo,1,,1,0.9854934126004055,1,0.9477677638605141,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0010,A. Ofuscación de groserías,Qué mierda de gente,leetspeak,Qué m13rda de gente,Qué m13rda de gente,Lenguaje Ofensivo,1,,1,0.9847799958346851,1,0.9470624633243384,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0011,A. Ofuscación de groserías,Qué mierda de gente,asterisco,Qué m*erda de gente,Qué m*erda de gente,Lenguaje Ofensivo,1,,1,0.9838357033016207,1,0.9289922261930618,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0012,A. Ofuscación de groserías,Qué mierda de gente,arroba,Qué mierd@ de gente,Qué mierd@ de gente,Lenguaje Ofensivo,1,,1,0.9872932696237269,1,0.9476683850335603,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0013,A. Ofuscación de groserías,Andate a la verga pendejo,original,Andate a la verga pendejo,Andate a la verga pendejo,Lenguaje Ofensivo,1,,1,0.9883629828206452,1,0.9300382470050277,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0014,A. Ofuscación de groserías,Andate a la verga pendejo,leetspeak,Andate a la v3rg4 p3nd3j0,Andate a la v3rg4 p3nd3j0,Lenguaje Ofensivo,1,,1,0.972074526901958,1,0.9366672821382342,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0015,A. Ofuscación de groserías,Andate a la verga pendejo,asterisco,Andate a la v*rga p*ndejo,Andate a la v*rga p*ndejo,Lenguaje Ofensivo,1,,1,0.9365727756648823,1,0.9510147070515166,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0016,A. Ofuscación de groserías,Andate a la verga pendejo,numeral,Andate a la v#rga p#ndejo,Andate a la v#rga p#ndejo,Lenguaje Ofensivo,1,,0,0.9884540230564977,1,0.8218754672333165,False,No Tóxico,True,Lenguaje Ofensivo
ADV-0017,A. Ofuscación de groserías,Son unos hijos de puta,original,Son unos hijos de puta,Son unos hijos de puta,Lenguaje Ofensivo,1,,1,0.9692342615275674,2,0.8938658827762551,True,Lenguaje Ofensivo,False,Discurso de Odio
ADV-0018,A. Ofuscación de groserías,Son unos hijos de puta,sigla,Son unos HDP,Son unos HDP,Lenguaje Ofensivo,1,,1,0.37830273211069665,1,0.41729377712082705,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0019,A. Ofuscación de groserías,Son unos hijos de puta,leetspeak,Son unos hij0s d3 pu74,Son unos hij0s d3 pu74,Lenguaje Ofensivo,1,,1,0.9838547618888194,2,0.7887723090751356,True,Lenguaje Ofensivo,False,Discurso de Odio
ADV-0020,A. Ofuscación de groserías,Son unos hijos de puta,asterisco,Son unos hijos de p***,Son unos hijos de p***,Lenguaje Ofensivo,1,,1,0.5325163930001345,2,0.8488721408473833,True,Lenguaje Ofensivo,False,Discurso de Odio
ADV-0021,B. Emojis,Insulto por emoji,solo_texto,Mira a este tipo,Mira a este tipo,Lenguaje Ofensivo,1,,2,0.5483817304584212,3,0.7924060420262079,False,Discurso de Odio,False,Amenazas/Violencia
ADV-0022,B. Emojis,Insulto por emoji,con_payaso,Mira a este tipo 🤡,Mira a este tipo :cara_de_payaso:,Lenguaje Ofensivo,1,,1,0.9850407897013779,1,0.9638688230496807,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0023,B. Emojis,Insulto por emoji,con_caca,Mira a este tipo 💩,Mira a este tipo :caca_con_ojos:,Lenguaje Ofensivo,1,,1,0.9837862904863837,1,0.962585526527375,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0024,B. Emojis,Insulto por emoji,con_dedo,Mira a este tipo 🖕,Mira a este tipo :dedo_corazón_hacia_arriba:,Lenguaje Ofensivo,1,,1,0.9792072485487433,1,0.9631622644133243,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0025,B. Emojis,Insulto por emoji,con_dedo_tono,Mira a este tipo 🖕🏽,Mira a este tipo :dedo_corazón_hacia_arriba:,Lenguaje Ofensivo,1,,1,0.9792072485487433,1,0.9631622644133243,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0026,B. Emojis,Insulto por emoji,multiple,Mira a este tipo 🤡💩🖕,Mira a este tipo :cara_de_payaso: :caca_con_ojos: :dedo_corazón_hacia_arriba:,Lenguaje Ofensivo,1,,1,0.9825051851183243,1,0.9614436414203121,True,Lenguaje Ofensivo,True,Lenguaje Ofensivo
ADV-0027,B. Emojis,Odio racial por emoji,neutro,Los jugadores de ese equipo,Los jugadores de ese equipo,Discurso de Odio,2,,0,0.9889662473261058,0,0.9811115861506601,False,No Tóxico,False,No Tóxico
ADV-0028,B. Emojis,Odio racial por emoji,mono,Los jugadores de ese equipo 🐒,Los jugadores de ese equipo :mono:,Discurso de Odio,2,,0,0.8917566336502801,0,0.9534776085651642,False,No Tóxico,False,No Tóxico
ADV-0029,B. Emojis,Odio racial por emoji,mono_bandera,Los jugadores de ese equipo 🐒🇸🇻,Los jugadores de ese equipo :mono: :bandera_el_salvador:,Discurso de Odio,2,,1,0.9498141708567082,1,0.8811237470903519,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0030,B. Emojis,Odio racial por emoji,bestializacion,Esos 🐒🐒 no merecen jugar,Esos :mono: :mono: no merecen jugar,Discurso de Odio,2,,2,0.9121163246394602,1,0.5027521730429925,True,Discurso de Odio,False,Lenguaje Ofensivo
ADV-0031,B. Emojis,Amenaza por emoji,neutro,Te espero afuera,Te espero afuera,Amenazas/Violencia,3,,1,0.7435338415744964,0,0.7269006176510276,False,Lenguaje Ofensivo,False,No Tóxico
ADV-0032,B. Emojis,Amenaza por emoji,pistola,Te espero afuera 🔫,Te espero afuera :pistola_de_agua:,Amenazas/Violencia,3,,1,0.9812338598387613,1,0.947558590203002,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0033,B. Emojis,Amenaza por emoji,cuchillo,Te espero afuera 🔪,Te espero afuera :cuchillo_de_cocina:,Amenazas/Violencia,3,,1,0.9815948893952576,1,0.9425575161423584,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0034,B. Emojis,Amenaza por emoji,ataud,Te espero afuera ⚰️,Te espero afuera :ataúd:,Amenazas/Violencia,3,,1,0.9038224705706533,0,0.759143954512346,False,Lenguaje Ofensivo,False,No Tóxico
ADV-0035,B. Emojis,Amenaza por emoji,combo,Te espero afuera 🔫⚰️,Te espero afuera :pistola_de_agua: :ataúd:,Amenazas/Violencia,3,,1,0.9841503046736143,1,0.9605622344107002,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0036,B. Emojis,Positivo con emoji,neutro,Qué alegre verte de nuevo,Qué alegre verte de nuevo,No Tóxico,0,,0,0.6577476744521357,0,0.9576904215856371,True,No Tóxico,True,No Tóxico
ADV-0037,B. Emojis,Positivo con emoji,corazon,Qué alegre verte de nuevo ❤️,Qué alegre verte de nuevo :corazón_rojo:,No Tóxico,0,,1,0.976345678032024,1,0.914508959463091,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0038,B. Emojis,Positivo con emoji,risa,Qué alegre verte de nuevo 😂,Qué alegre verte de nuevo :cara_llorando_de_risa:,No Tóxico,0,,1,0.9777159733384763,1,0.9286182999131266,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0039,C. Amenazas ofuscadas,Te voy a matar,original,Te voy a matar,Te voy a matar,Amenazas/Violencia,3,,3,0.9882476302330129,3,0.9664526241868984,True,Amenazas/Violencia,True,Amenazas/Violencia
ADV-0040,C. Amenazas ofuscadas,Te voy a matar,leetspeak,Te voy a m4t4r,Te voy a m4t4r,Amenazas/Violencia,3,,1,0.9737715831525258,1,0.5391034738893294,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0041,C. Amenazas ofuscadas,Te voy a matar,asterisco,Te voy a m*tar,Te voy a m*tar,Amenazas/Violencia,3,,1,0.9717638637456067,1,0.5903875600922409,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0042,C. Amenazas ofuscadas,Te voy a matar,eufemismo,Te voy a dar piso,Te voy a dar piso,Amenazas/Violencia,3,,3,0.9664539487501289,0,0.4258744319865274,True,Amenazas/Violencia,False,No Tóxico
ADV-0043,C. Amenazas ofuscadas,Te voy a matar,indirecta,Ya sabés lo que te va a pasar,Ya sabés lo que te va a pasar,Amenazas/Violencia,3,,1,0.9480776675336053,0,0.6321545021703184,False,Lenguaje Ofensivo,False,No Tóxico
ADV-0044,C. Amenazas ofuscadas,Hay que matarlos a todos,original,Hay que matarlos a todos,Hay que matarlos a todos,Amenazas/Violencia,3,,3,0.9893812909106362,3,0.9801768787739454,True,Amenazas/Violencia,True,Amenazas/Violencia
ADV-0045,C. Amenazas ofuscadas,Hay que matarlos a todos,leetspeak,Hay que m4t4rl0s a todos,Hay que m4t4rl0s a todos,Amenazas/Violencia,3,,1,0.955272463760025,1,0.7504583374297487,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0046,C. Amenazas ofuscadas,Hay que matarlos a todos,eufemismo_sv,Hay que darles cuello a todos,Hay que darles cuello a todos,Amenazas/Violencia,3,,3,0.9872618495628305,3,0.9462795276512288,True,Amenazas/Violencia,True,Amenazas/Violencia
ADV-0047,C. Amenazas ofuscadas,Hay que matarlos a todos,celebracion,"Bien hecho que lo mataron, uno menos","Bien hecho que lo mataron, uno menos",Amenazas/Violencia,3,,3,0.9880265918589715,3,0.9787661864260141,True,Amenazas/Violencia,True,Amenazas/Violencia
ADV-0048,C. Amenazas ofuscadas,Ojalá se muera,original,Ojalá se muera ese maldito,Ojalá se muera ese maldito,Amenazas/Violencia,3,,3,0.9868675886273857,3,0.9762818801633631,True,Amenazas/Violencia,True,Amenazas/Violencia
ADV-0049,C. Amenazas ofuscadas,Ojalá se muera,asterisco,Ojalá se m*era ese maldito,Ojalá se m*era ese maldito,Amenazas/Violencia,3,,1,0.8961554671649924,1,0.8525446712871338,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0050,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"Qué verga, maje, qué alegre verte","Qué verga, maje, qué alegre verte",No Tóxico,0,,1,0.9837465384127319,1,0.8967727326774033,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0051,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"Puta, qué rico estuvo el almuerzo","Puta, qué rico estuvo el almuerzo",No Tóxico,0,,0,0.9605454253876247,0,0.9627074568820488,True,No Tóxico,True,No Tóxico
ADV-0052,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"A huevo que sí, vamos a la playa","A huevo que sí, vamos a la playa",No Tóxico,0,,1,0.6349279917606503,0,0.9659076272959292,False,Lenguaje Ofensivo,True,No Tóxico
ADV-0053,D. Jerga salvadoreña inofensiva,neutro con jerga,-,Ese cerote es mi mejor amigo desde la escuela,Ese cerote es mi mejor amigo desde la escuela,No Tóxico,0,,1,0.8685651284276589,0,0.6663411211675481,False,Lenguaje Ofensivo,True,No Tóxico
ADV-0054,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"Qué chivo tu carro, maje","Qué chivo tu carro, maje",No Tóxico,0,,1,0.9240196103671127,1,0.6826059268567709,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0055,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"No sea bicho, ayudame con esto","No sea bicho, ayudame con esto",No Tóxico,0,,1,0.7749299164474205,1,0.8618188858028653,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0056,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"Vaya pues, nos vemos mañana cabal","Vaya pues, nos vemos mañana cabal",No Tóxico,0,,0,0.9395097433726801,0,0.9395930426866844,True,No Tóxico,True,No Tóxico
ADV-0057,D. Jerga salvadoreña inofensiva,neutro con jerga,-,Está bien vergón el concierto,Está bien vergón el concierto,No Tóxico,0,,1,0.8383580444949518,0,0.8993797821155549,False,Lenguaje Ofensivo,True,No Tóxico
ADV-0058,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"Qué onda maje, todo tranquilo","Qué onda maje, todo tranquilo",No Tóxico,0,,1,0.9831864240958419,1,0.9095507928939869,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0059,D. Jerga salvadoreña inofensiva,neutro con jerga,-,Mi cipote ya cumplió los quince,Mi cipote ya cumplió los quince,No Tóxico,0,,1,0.9759732403076025,0,0.8030032231164907,False,Lenguaje Ofensivo,True,No Tóxico
ADV-0060,D. Jerga salvadoreña inofensiva,neutro con jerga,-,Andaba bien pedo pero llegó bien,Andaba bien pedo pero llegó bien,No Tóxico,0,,1,0.8264693502031308,0,0.6594417210880339,False,Lenguaje Ofensivo,True,No Tóxico
ADV-0061,D. Jerga salvadoreña inofensiva,neutro con jerga,-,"Puchica, se me olvidó la cita","Puchica, se me olvidó la cita",No Tóxico,0,,1,0.9132691612420375,1,0.7324113948821256,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0062,D. Jerga salvadoreña inofensiva,neutro con jerga,-,Vamos a comer pupusas al mercado,Vamos a comer pupusas al mercado,No Tóxico,0,,1,0.9671966601762433,0,0.8070655294385936,False,Lenguaje Ofensivo,True,No Tóxico
ADV-0063,D. Jerga salvadoreña inofensiva,neutro con jerga,-,Ese bayunco no sabe ni manejar,Ese bayunco no sabe ni manejar,No Tóxico,0,,1,0.9848033414591854,1,0.938895517367949,False,Lenguaje Ofensivo,False,Lenguaje Ofensivo
ADV-0064,E. Control sin jerga,neutro estándar,-,Qué bueno verte de nuevo,Qué bueno verte de nuevo,No Tóxico,0,,0,0.9766304047655839,0,0.9515685923101764,True,No Tóxico,True,No Tóxico
ADV-0065,E. Control sin jerga,neutro estándar,-,Estuvo muy rico el almuerzo,Estuvo muy rico el almuerzo,No Tóxico,0,,0,0.9641442870343183,0,0.9737545827366271,True,No Tóxico,True,No Tóxico
