ID,Responsable,Plataforma,Fecha_Recolección,Texto_Original,URL_Original,Usuario_ID_Anonimizado,Clase_Toxicidad,Subclase_Toxicidad,Grupos_Afectados,Lenguaje_Dialectal,Presencia_Sarcasmo,Presencia_Ironia,Contexto_Politico,Confianza_Clasificador,Notas_Etiquetador,Validado,Validador,Fecha_Validacion,Acuerdo_Validador,Razon_Desacuerdo,Cohen_Kappa,Listo_Entrenamiento
130,Cristian,X,2026-05-30,"Semejante hijo de puta barba de cabro viejo. Solo trompa tenés, marica",https://x.com/PuntoDVistaSv/status/1312042811676655616,USR_00000093,Discurso de Odio,Homofobia,Comunidad LGBT,General Español,No,No,No,0.86,"Ataca o degrada a un grupo identificable mediante insulto o generalización. No se observan marcas dialectales suficientes; predomina español general. Evidencia léxica (obscenidad: hijo de puta, marica, puta).",No,,,,,,Sí
117,Dressler,Facebook,6/1/2026,Alexander Sagastume lo mismo que Guatemala JAJAJSJDJSJAJAIWOXPX,https://www.facebook.com/profile.php?comment_id=Y29tbWVudDoxNTQ0ODUwMzkxMDA2ODA5XzE1NzM0MTkwODc2NDIzNTI=,USER_117,Discurso de odio,Burla por nacionalidad,Personas argentinas,General Espa�ol,SI,SI,NO,0.86,requiere verificacion y validacion,No,,,,,,NO
941,Willian,X,2026-07-14,"@cguanacas Si el muerto es marero o asociado, no cuenta...",https://x.com/Beiioso/status/638865419814748160,USER_322,Amenazas/Violencia,Incitación a la Violencia (a grupo),Pandilleros/Mareros,Salvadoreño,NO,NO,NO,0.7,Indiferencia explícita ante la muerte de mareros ('no cuenta').,NO,,,,N/A,,NO
456,Cristian,Facebook,2026-07-12,"Pipianes, ridiculos, pedigüeños, tan jóvenes y mendigos, teniendo energías para trabajar",https://www.facebook.com/TUmundoESV/posts/pfbid027jMSFZuzMCMCwm36XQYaPv5CrkVmvRHAYAmDYYZSjqJKs4Rxejoiewyu6WNn1zPpl?comment_id=1014990863409506,USR_00000088,Lenguaje Ofensivo,Lenguaje vulgar,Ninguno,General Español,No,No,No,0.82,"Usa insultos, burlas o vulgarismos sin ataque claro a característica protegida. No se observan marcas dialectales suficientes; predomina español general.",No,,,,,,Sí
180,Cristian,X,2026-06-02,"Sos pura mierddddd Nayib Bukele. Bien, dicen que las mentiras duran sólo mientras la verdad llega , aquí está la Realidad de dos escuelas por día 👇",https://x.com/DrCatrinSv/status/2021048546561229282,USR_00000129,Otro,Crítica institucional,Funcionarios Públicos,Salvadoreño,No,No,Sí,0.70,"Texto político/institucional sin toxicidad inequívoca. Usa voseo, caliche o léxico registrado como salvadoreñismo. Evidencia léxica (jerga salvadoreña: sos).",No,,,,,,No
074,Cristian,Facebook,2026-06-14,1 millon de pasmados carentes de cultura y educación...,https://www.facebook.com/Nacionsivarsv/posts/pfbid0SYh263szyjXywX7KdVKMnDxVu6KdJdP6pNyk9TYD5CrqJ8fCCQrgeJDxri1JxWbNl?comment_id=802875545699977,USR_00000074,No Tóxico,No Aplica,Ninguno,General Español,No,No,No,0.80,"No hay insulto, amenaza ni ataque discriminatorio evidente. No se observan marcas dialectales suficientes; predomina español general.",No,,,,,,Sí
84,Dressler,Facebook,6/15/2026,"Fernando Antonio Téllez  · 1dTe parece, yo no voy con los agrandados yo voy con los justos así que no voy con la Fifantina.LikeReply",https://www.facebook.com/fernando.antonio.tellez?comment_id=Y29tbWVudDoxMzUwNzM5MTc3MDM2MTI3XzIyMTc1NTk1NDI0MTQ5NDI=,USER_084,Discurso de odio,Burla por nacionalidad,Personas argentinas,General Espa�ol,SI,SI,NO,0.78,requiere verificacion y validacion,No,,,,,,NO
1243,Willian,Facebook,2026-07-14,"El salvador no da porque le sobre, El salvador da porque sabemos que es necesitar !",https://www.facebook.com/marlonserpas503?comment_id=Y29tbWVudDoxNDk0MzUzODMyNzM0MDIwXzEwMjI3NDczMTczODk4MDg=,USER_608,No Tóxico,N/A,N/A,Salvadoreño,NO,NO,NO,0.75,"Comentario patriótico sobre solidaridad, sin agresión.",NO,,,,N/A,,NO
255,Cristian,X,2026-06-02,"Ya activaron dice🤣🤣🤣🤣, lo decís por qué?, por qué así activaba ARENA sus negociaciones con los pandilleros para ganar elecciones o como es la cosa?, ustedes van avanzando pero para el entierro político, El salvador Jamás va a Olvidar las masacres, violaciones hasta a las personas quemadas en un microbús VIVAS por culpa de los gobiernos mierdas de ARENA, GATOS podemos ser, pero ya vez estos gatos siempre les van a recordar todo lo mierda que tú partido fue con este país gran cerote.",https://x.com/paizsv7/status/2042225555358065149,USR_00000199,Lenguaje Ofensivo,Lenguaje vulgar,Pandillas,Salvadoreño,Sí,Sí,Sí,0.82,"Usa insultos, burlas o vulgarismos sin ataque claro a característica protegida. Usa voseo, caliche o léxico registrado como salvadoreñismo. Evidencia léxica (obscenidad: cerote, mierda; jerga salvadoreña: cerote).",No,,,,,,Sí
162,Dressler,Facebook,6/28/2026,Argentina bicampeon tienen sangre de campeón,https://www.facebook.com/horacio.mezachaves?comment_id=Y29tbWVudDoxNjA4MTMwMzkxMzIyNjM2XzI1Mjk4MjMyNjQxMjc2MjA=,USER_162,Discurso de odio,Burla por nacionalidad,Personas argentinas,General Espa�ol,SI,SI,NO,0.79,requiere verificacion y validacion,No,,,,,,NO
442,Cristian,X,2026-06-07,"Decía Ron Damon ""lo que tenés de pendejo lo tenés de pendejo""resulta que ahora vos vas a decidir lo que le conviene al pueblo salvadoreño, el chiste se cuenta solo .",https://x.com/PN77393980/status/2061225156652240980,USR_00000349,Acoso,Ataque personal,Persona Individual,Salvadoreño,No,Sí,No,0.84,"Insulta o ridiculiza a una persona identificable. Usa voseo, caliche o léxico registrado como salvadoreñismo. Evidencia léxica (obscenidad: pendejo; jerga salvadoreña: vos).",No,,,,,,Sí
147,Cristian,X,2026-05-30,Anda échale cemento al puente chichilco que se está cayendo maje!!,https://x.com/ALMonDiaz81/status/1311942502031581184,USR_00000112,Lenguaje Ofensivo,Lenguaje vulgar,Ninguno,Salvadoreño,No,No,No,0.82,"Usa insultos, burlas o vulgarismos sin ataque claro a característica protegida. Usa voseo, caliche o léxico registrado como salvadoreñismo. Evidencia léxica (obscenidad: maje; jerga salvadoreña: maje).",No,,,,,,Sí
1102,Willian,Facebook,2026-07-14,"Feliz inicio de semana, bendiciones
.",https://www.facebook.com/david.martinez.112751?comment_id=Y29tbWVudDoxNTY5Njk0NzA1MTg0ODg3XzEyMzYwNTg3OTE4ODQ2NzI=,USER_399,No Tóxico,N/A,N/A,Español Estándar,NO,NO,NO,0.85,Saludo positivo de inicio de semana.,NO,,,,N/A,,NO
011,Cristian,X,2026-05-24,A veces tenés que ser un cerote porque hay gente que es bien abusiva e interesada Les das la mano y te agarran la billetera.,https://x.com/juandifiallos/status/1987671989318742433,USR_00000004,Acoso,Ataque personal,Persona Individual,Salvadoreño,No,No,No,0.84,"Insulta o ridiculiza a una persona identificable. Usa voseo, caliche o léxico registrado como salvadoreñismo. Evidencia léxica (obscenidad: cerote; jerga salvadoreña: cerote).",No,,,,,,Sí
32,Dressler,X,7/7/2026,Milei tiene que hacer algo bueno y expulsar a todos los inmigrantes de mierda y si no se quieren ir los tienen que fusilar,https://x.com/patora124/status/2076063591371841731,USER_032,Discurso de odio,Xenofobia,Personas inmigrantes,General Espa�ol,NO,NO,NO,0.79,requiere verificacion y validacion,No,,,,,,NO
297,Cristian,X,2026-06-07,Te vas ir al infierno hijueputa.,https://x.com/CE29791/status/2060144097164230934,USR_00000232,Acoso,Ataque personal,Persona Individual,Salvadoreño,No,No,No,0.84,"Insulta o ridiculiza a una persona identificable. Usa voseo, caliche o léxico registrado como salvadoreñismo. Evidencia léxica (obscenidad: hijueputa; jerga salvadoreña: hijueputa).",No,,,,,,Sí
414,Cristian,X,2026-06-07,Te invito a que vayas a ver la concentración de river y mira en que sale el mas pendejo de la primera.,https://x.com/claudiodfer/status/2061956226464829489,USR_00000330,Acoso,Ataque personal,Persona Individual,General Español,No,No,No,0.84,Insulta o ridiculiza a una persona identificable. No se observan marcas dialectales suficientes; predomina español general. Evidencia léxica (obscenidad: pendejo).,No,,,,,,Sí
339,Cristian,Facebook,2026-06-26,Ano arriba la tenían a ella 🤣🤣🤣,https://www.facebook.com/permalink.php?story_fbid=pfbid0gGwa7heoitAJ5ZWQDSB8wc3ckT5Z4rLR9rec7xeY4zGFSCeiSCTDJg5ArZ1FvuL7l&id=100076242561758&comment_id=834118152435419,USR_00000255,No Tóxico,No Aplica,Ninguno,General Español,Sí,Sí,No,0.80,"No hay insulto, amenaza ni ataque discriminatorio evidente. No se observan marcas dialectales suficientes; predomina español general.",No,,,,,,Sí
1230,Willian,Facebook,2026-07-14,"El mundial es nuestro España, va a ir contra Argentina",https://www.facebook.com/jose.mccourt?comment_id=Y29tbWVudDoxNTMxMTg2MzU5MDUzNzk5XzEwNzYxMzg2NjQ3NTQ4OTE=,USER_595,No Tóxico,N/A,N/A,Salvadoreño,NO,NO,NO,0.8,"Comentario deportivo sobre final de mundial, sin agresión.",NO,,,,N/A,,NO
1183,Willian,Facebook,2026-07-14,"!!! Eres muy pero muy inteligente, además de bella!!!",https://www.facebook.com/cesar.vazquez.717954?comment_id=Y29tbWVudDoxMDE2NzI1ODcxNjg5MDM4NV84NjQ4NDIwOTc5NzE4NDk=,USER_555,No Tóxico,N/A,N/A,Español Estándar,NO,NO,NO,0.85,"Elogio combinando inteligencia y belleza, positivo.",NO,,,,N/A,,NO
157,Cristian,X,2026-05-30,Puta gorda pendeja,https://x.com/MikeHmz/status/2064444616829473127,USR_00000122,Lenguaje Ofensivo,Lenguaje vulgar,Ninguno,General Español,No,No,No,0.82,"Usa insultos, burlas o vulgarismos sin ataque claro a característica protegida. No se observan marcas dialectales suficientes; predomina español general. Evidencia léxica (obscenidad: pendeja, puta).",No,,,,,,Sí
1176,Willian,Facebook,2026-07-14,Buenos Dias Jennifer que Chica mas Hermosa luces guapicima salu2 Jennifer,https://www.facebook.com/sergio.gonzalez.185691?comment_id=Y29tbWVudDoxMDE2NzI3NzkxNTg2NTM4NV82OTMxMzI1ODU3NzM3MDQ=,USER_549,No Tóxico,N/A,N/A,Español Estándar,NO,NO,NO,0.8,"Saludo cordial con cumplido, positivo.",NO,,,,N/A,,NO
417,Cristian,X,2026-06-07,"Tenes tiempo de sobras para estar de chismosa, revisando mis interacciones. Y si, para tu información lo que cinco hacía antes no me caía mal, pero ahora pasa como vieja chismosa, a falta de creatividad 🤷🏻 y para tu información, el pendejo de yeik también me cae el los huevos.",https://x.com/panera_503/status/2061940437934346437,USR_00000333,Discurso de Odio,Misoginia,Mujeres,Salvadoreño,No,No,No,0.86,"Ataca o degrada a un grupo identificable mediante insulto o generalización. Usa voseo, caliche o léxico registrado como salvadoreñismo. Evidencia léxica (obscenidad: pendejo).",No,,,,,,Sí
