ID,grupo,base,variante,texto_original,texto_modelo,clase,label,pred_mbert_b2,pred_mbert_v1,pred_xlmr_v1,pred_xlmr_mit
ADV-0001,A. Ofuscación de groserías,Sos una puta barata,original,Sos una puta barata,Sos una puta barata,Lenguaje Ofensivo,1,1,1,1,2
ADV-0002,A. Ofuscación de groserías,Sos una puta barata,asterisco,Sos una p*ta barata,Sos una p*ta barata,Lenguaje Ofensivo,1,1,1,1,2
ADV-0003,A. Ofuscación de groserías,Sos una puta barata,arroba,Sos una put@ barata,Sos una put@ barata,Lenguaje Ofensivo,1,1,1,1,2
ADV-0004,A. Ofuscación de groserías,Sos una puta barata,numeral,Sos una p#ta barata,Sos una p#ta barata,Lenguaje Ofensivo,1,0,0,1,1
ADV-0005,A. Ofuscación de groserías,Sos una puta barata,leetspeak,Sos una pu74 barata,Sos una pu74 barata,Lenguaje Ofensivo,1,1,1,1,2
ADV-0006,A. Ofuscación de groserías,Sos una puta barata,vocal_v,Sos una pvta barata,Sos una pvta barata,Lenguaje Ofensivo,1,1,1,1,1
ADV-0007,A. Ofuscación de groserías,Sos una puta barata,espaciado,Sos una p u t a barata,Sos una p u t a barata,Lenguaje Ofensivo,1,3,1,1,1
ADV-0008,A. Ofuscación de groserías,Sos una puta barata,repeticion,Sos una puuuta barata,Sos una puuuta barata,Lenguaje Ofensivo,1,1,1,1,2
ADV-0009,A. Ofuscación de groserías,Qué mierda de gente,original,Qué mierda de gente,Qué mierda de gente,Lenguaje Ofensivo,1,1,1,1,1
ADV-0010,A. Ofuscación de groserías,Qué mierda de gente,leetspeak,Qué m13rda de gente,Qué m13rda de gente,Lenguaje Ofensivo,1,1,1,1,1
ADV-0011,A. Ofuscación de groserías,Qué mierda de gente,asterisco,Qué m*erda de gente,Qué m*erda de gente,Lenguaje Ofensivo,1,1,1,1,1
ADV-0012,A. Ofuscación de groserías,Qué mierda de gente,arroba,Qué mierd@ de gente,Qué mierd@ de gente,Lenguaje Ofensivo,1,1,1,1,1
