bateria,base,variante,texto,esperado,motivo,pred,conf,ok,clase_esperada,clase_predicha
F. Falsos amigos dialectales,pajero,cotidiano,"No sea pajero, contame la verdad",0,En SV «pajero» = mentiroso. Reproche coloquial entre amigos,1,0.6741779325395769,False,No Tóxico,Lenguaje Ofensivo
F. Falsos amigos dialectales,pajero,cotidiano,"Ese maje es bien pajero, nunca cumple",0,"Describe a alguien poco confiable, registro cotidiano",1,0.958528207085517,False,No Tóxico,Lenguaje Ofensivo
F. Falsos amigos dialectales,paja,cotidiano,Qué paja tan buena la que contó anoche,0,"«Paja» = cuento, anécdota. Elogio, no insulto",1,0.9623678375095381,False,No Tóxico,Lenguaje Ofensivo
F. Falsos amigos dialectales,paja,cotidiano,Dejate de pajas y andá a trabajar,0,«Dejate de pajas» = deja de perder el tiempo,1,0.4487877554464332,False,No Tóxico,Lenguaje Ofensivo
F. Falsos amigos dialectales,paja,cotidiano,Puras pajas las que dice ese noticiero,0,"Crítica a un medio, sin insulto a persona",1,0.958423464948888,False,No Tóxico,Lenguaje Ofensivo
F. Falsos amigos dialectales,cerote,cotidiano,Ese cerote me ayudó cuando más lo necesitaba,0,"Uso afectivo entre amigos, muy común en SV",1,0.5701389347245872,False,No Tóxico,Lenguaje Ofensivo
F. Falsos amigos dialectales,cerote,cotidiano,"Qué onda cerote, cómo has estado",0,Saludo entre conocidos,1,0.7825298250936558,False,No Tóxico,Lenguaje Ofensivo
F. Falsos amigos dialectales,bicho,cotidiano,Los bichos ya salieron de vacaciones,0,«Bicho» = niño en SV. En Puerto Rico es vulgar,2,0.5039505838089168,False,No Tóxico,Discurso de Odio
F. Falsos amigos dialectales,cipote,cotidiano,Mi cipote entra a la universidad este año,0,«Cipote» = niño en SV. En España es vulgar,0,0.9665626133434383,True,No Tóxico,No Tóxico
F. Falsos amigos dialectales,bicho,cotidiano,"No sea bicho, présteme el cuaderno un ratito",0,"Aquí «bicho» = tonto, en tono de broma",1,0.9045518473428128,False,No Tóxico,Lenguaje Ofensivo
F. Falsos amigos dialectales,vergón,cotidiano,Está bien vergón el carro que te compraste,0,«Vergón» = excelente. Elogio pese a la raíz vulgar,1,0.9208790563407505,False,No Tóxico,Lenguaje Ofensivo
F. Falsos amigos dialectales,verga,cotidiano,"Qué verga, ni me acordaba de la reunión",0,"Interjección de sorpresa, sin destinatario",1,0.895681665240118,False,No Tóxico,Lenguaje Ofensivo
F. Falsos amigos dialectales,puta,cotidiano,"A la gran puta, qué frío está haciendo",0,"Interjección meteorológica, no dirigida a nadie",0,0.6355953651272888,True,No Tóxico,No Tóxico
F. Falsos amigos dialectales,puchica,cotidiano,"Puchica, se me olvidó el cumpleaños",0,"Eufemismo suavizado, equivale a «caramba»",0,0.9600155361616516,True,No Tóxico,No Tóxico
F. Falsos amigos dialectales,pedo,cotidiano,Anoche andaba bien pedo en la fiesta del barrio,0,"«Pedo» = ebrio. Descripción, no insulto",0,0.9651653690724052,True,No Tóxico,No Tóxico
