ID,Responsable,Plataforma,Fecha_Recolección,Texto_Original,URL_Original,Usuario_ID_Anonimizado,Clase_Toxicidad,Subclase_Toxicidad,Grupos_Afectados,Lenguaje_Dialectal,Presencia_Sarcasmo,Presencia_Ironia,Contexto_Politico,Confianza_Clasificador,Notas_Etiquetador,Validado,Validador,Fecha_Validacion,Acuerdo_Validador,Razon_Desacuerdo,Cohen_Kappa,Listo_Entrenamiento
001,Cristian,X,2026-05-01,"Vos sos un idiota hermano",https://x.com/...,USER_001,Lenguaje Ofensivo,Insulto Directo,N/A,Salvadoreño (vos),NO,SI,NO,0.95,"Utiliza 'vos' típico de El Salvador. Insulto pero no dirigido a grupo",SI,Dressler,2026-05-15,SI,N/A,0.89,SI
002,Dressler,Facebook,2026-05-02,"Los haitianos nos están quitando el trabajo",https://facebook.com/...,USER_002,Discurso de Odio,Xenofobia Económica,Migrantes Haitianos,Salvadoreño,NO,NO,SI,0.90,"Ataque directo a grupo nacional. Contexto: debates sobre migración",SI,Cristian,2026-05-16,SI,N/A,0.91,SI
003,Willian,X,2026-05-03,"El clima hoy está bonito para ir a la playa",https://x.com/...,USER_003,No Tóxico,N/A,N/A,Salvadoreño,NO,NO,NO,0.98,"Contenido completamente neutral. Para balance del dataset",SI,Dressler,2026-05-17,SI,N/A,0.95,SI
004,Willian,Facebook,2026-05-04,"Te voy a matar cuando te vea",https://facebook.com/...,USER_004,Amenazas/Violencia,Amenaza Explícita Directa,Individuo,Salvadoreño,NO,NO,SI,0.92,"Amenaza directa y clara de violencia física",SI,Cristian,2026-05-18,SI,N/A,0.93,SI
005,Cristian,X,2026-05-05,"Las mujeres no sirven para gobernar",https://x.com/...,USER_005,Discurso de Odio,Sexismo,Mujeres,Salvadoreño,NO,NO,SI,0.88,"Ataque basado en género. Generalización discriminatoria",NO,Dressler,2026-05-19,NO,Podría ser lenguaje ofensivo sin contexto claro de grupo,0.65,NO
006,Dressler,Facebook,2026-05-06,"Esos comunistas son la peste del país",https://facebook.com/...,USER_006,Discurso de Odio,Polarización Política,Grupo Político,Salvadoreño,NO,SI,SI,0.85,"Lenguaje polarizante pero con ironía. Debate sobre ideología",SI,Willian,2026-05-20,SI,N/A,0.87,SI
007,Willian,X,2026-05-07,"Qué asco la comida de hoy en la uni",https://x.com/...,USER_007,Lenguaje Ofensivo,Crítica Fuerte,N/A,Salvadoreño,NO,NO,NO,0.92,"Lenguaje fuerte pero sobre cosa (comida) no persona/grupo",SI,Cristian,2026-05-21,SI,N/A,0.90,SI
008,Cristian,Facebook,2026-05-08,"Todos los LGBTQ+ son enfermos mentales",https://facebook.com/...,USER_008,Discurso de Odio,Homofobia,LGBTQ+,Salvadoreño,NO,NO,SI,0.96,"Ataque a comunidad LGBTQ+ basado en desinformación médica",SI,Dressler,2026-05-22,SI,N/A,0.94,SI
009,Dressler,X,2026-05-09,"Los indígenas siempre han sido ignorantes",https://x.com/...,USER_009,Discurso de Odio,Racism,Población Indígena,Salvadoreño,NO,NO,NO,0.91,"Estereotipo racial discriminatorio. Sin sarcasmo detectado",SI,Willian,2026-05-23,SI,N/A,0.92,SI
010,Willian,Facebook,2026-05-10,"Sos un chapucerito de mierda y voy a romper tu cara",https://facebook.com/...,USER_010,Amenazas/Violencia,Amenaza + Insulto Compuesto,Individuo,Salvadoreño,NO,NO,SI,0.94,"Combinación de insulto y amenaza de violencia física. 'Chapucerito' es modismo local",SI,Cristian,2026-05-24,SI,N/A,0.93,SI
011,Cristian,X,2026-05-11,"La policía es un grupo de ladrones",https://x.com/...,USER_011,Lenguaje Ofensivo,Crítica Institucional,Institución,Salvadoreño,NO,SI,SI,0.80,"Crítica fuerte a institución. Ambiguo: ¿ofensivo o legítima crítica?",NO,Dressler,2026-05-25,NO,Podría considerarse como lenguaje ofensivo pero dirigido a institución,0.68,NO
012,Dressler,Facebook,2026-05-12,"Los negros son criminales por naturaleza",https://facebook.com/...,USER_012,Discurso de Odio,Racismo Biológico,Personas Negras,Salvadoreño,NO,NO,NO,0.97,"Racism científico discreditado. Ataque clarísimo basado en raza",SI,Willian,2026-05-26,SI,N/A,0.96,SI
013,Willian,X,2026-05-13,"Me encanta el café salvadoreño",https://x.com/...,USER_013,No Tóxico,N/A,N/A,Salvadoreño,NO,NO,NO,0.97,"Contenido positivo. Balance dataset",SI,Cristian,2026-05-27,SI,N/A,0.96,SI
014,Cristian,Facebook,2026-05-14,"Te voy a desaparecer como desaparecieron a otros",https://facebook.com/...,USER_014,Amenazas/Violencia,Amenaza Implícita (Desaparición Forzada),Individuo,Salvadoreño,NO,NO,SI,0.93,"Referencia a desapariciones forzadas salvadoreñas. Amenaza implícita pero clara en contexto",SI,Dressler,2026-05-28,SI,N/A,0.94,SI
015,Dressler,X,2026-05-15,"Los pobres son pobres porque son flojos",https://x.com/...,USER_015,Discurso de Odio,Clasismo,Población de Bajos Ingresos,Salvadoreño,NO,NO,SI,0.87,"Estereotipo clasista. Generalización discriminatoria sobre clase socioeconómica",SI,Willian,2026-05-29,SI,N/A,0.88,SI
