Columna,Tipo_Dato,Rango_Valores,Obligatorio,Descripción,Ejemplo,Notas_Especiales
ID,Texto,Numérico secuencial (001-3000),SI,"Identificador único de cada ejemplo. Formato: XXX donde XXX es número secuencial","001, 002, 003, ... 2999, 3000","Debe ser único. No usar para análisis, solo para tracking."
Responsable,Texto,Cristian | Dressler | Willian,SI,"Nombre de la persona que recopiló el dato de X o Facebook","Cristian, Dressler, Willian","Importante para análisis de sesgos del anotador. Permite hacer rotación de validadores."
Plataforma,Texto,X | Facebook,SI,"Red social de donde proviene el contenido","X, Facebook","Necesario para análisis cross-plataforma. X = Twitter nuevo. Algunos textos cortos, otros extensos."
Fecha_Recolección,Fecha,YYYY-MM-DD,SI,"Fecha en la que se capturó el texto. Formato ISO 8601","2026-05-01, 2026-06-15","Permite tracking de cobertura temporal. Útil para análisis de tendencias de toxicidad."
Texto_Original,Texto,Cualquier texto sin restricción,SI,"El texto exacto del tuit o comentario. Debe incluir ortografía, mayúsculas, emojis, caracteres especiales tal como aparecen","Vos sos un idiota hermano, Los haitianos nos están quitando el trabajo, Te voy a matar cuando te vea","CRÍTICO: No editar ni normalizar aquí. La normalización se hace en pipeline posterior. Incluir caracteres especiales, emojis como 😤 ¡Ojo! si hay caracteres especiales que rompan CSV usar comillas dobles."
URL_Original,Texto,URL válida o vacío,NO,"Link directo al post/tuit original. Permite verificación posterior si es necesario. Si no se pudo capturar dejar vacío.","https://x.com/usuario/status/123456789, https://facebook.com/post/987654321, ","Puede quedar vacío si se recopila por captura manual (copiar/pegar) sin link. No es crítico pero deseable para auditoría."
Usuario_ID_Anonimizado,Texto,USER_XXX donde XXX es número,SI,"ID anonimizado del usuario que publicó. Formato: USER_001, USER_002, etc. NO incluir nombres reales.","USER_001, USER_002, USER_1543","Importante para anonimización. Si mismo usuario aparece múltiples veces usar mismo ID. Permite análisis de patrones por usuario sin exponer identidad."
Clase_Toxicidad,Texto,No Tóxico | Lenguaje Ofensivo | Discurso de Odio | Amenazas/Violencia,SI,"Clasificación principal del contenido en 4 categorías mutuamente excluyentes","No Tóxico, Lenguaje Ofensivo, Discurso de Odio, Amenazas/Violencia","Cada texto tiene UNA sola clase. Si hay duda entre dos, usar Subclase_Toxicidad para detallar. Esta es la etiqueta que usará el modelo."
Subclase_Toxicidad,Texto,"Ver tabla de subclases, o N/A si No Tóxico",SI,"Subcategoría detallada dentro de la clase principal. Proporciona granularidad para análisis posterior","Insulto Directo, Xenofobia Económica, Amenaza Explícita Directa, Sexismo, Racismo, Homofobia, Clasismo, Amenaza Implícita, etc.","Permite entender QUÉ tipo de toxicidad. Useful para análisis de subtemas. Revisar tabla de subclases permitidas."
Grupos_Afectados,Texto,"N/A, o lista de grupos separados por semicolon (;)","Condicional (obligatorio si Clase_Toxicidad = Discurso de Odio)","Identifica qué grupo(s) social/demográfico(s) son atacados. Solo llenar si es Discurso de Odio o Amenazas contra grupo.","Migrantes Haitianos; Mujeres; LGBTQ+; Población Indígena; Personas Negras; Grupo Político; Institución; N/A","Crucial para análisis de sesgo y representación de grupos vulnerables. Si amenaza es contra individuo poner 'Individuo'."
Lenguaje_Dialectal,Texto,"Salvadoreño, Español Estándar, Código-Mezclado, Otro",SI,"Variante lingüística detectada. Importante para entender el registro local","Salvadoreño, Español Estándar, Código-Mezclado (spanglish), Otro","Documentar modismos: 'vos' en lugar de 'tú', 'mara' en lugar de 'pandilla', 'chapucerito', 'awebo', etc. Afecta interpretación de toxicidad."
Presencia_Sarcasmo,Booleano,SI | NO,SI,"¿Hay sarcasmo detectado en el texto? Ej: decir lo opuesto de lo que se piensa con intención irónica","SI, NO","Crítico para clasificación. 'Awebo buena pregunta' es probablemente sarcasmo. 'Te amo' después de insulto puede ser sarcástico. Difícil sin contexto."
