ID,Responsable,Plataforma,Fecha_Recolección,Texto_Original,URL_Original,Usuario_ID_Anonimizado,Clase_Toxicidad,Subclase_Toxicidad,Grupos_Afectados,Lenguaje_Dialectal,Presencia_Sarcasmo,Presencia_Ironia,Contexto_Politico,Confianza_Clasificador,Notas_Etiquetador,Validado,Validador,Fecha_Validacion,Acuerdo_Validador,Razon_Desacuerdo,Cohen_Kappa,Listo_Entrenamiento
022,Cristian,Facebook,2026-06-10,Cuanta gente pendej@ 🤣🤣🤣,https://www.facebook.com/Nacionsivarsv/posts/pfbid0SYh263szyjXywX7KdVKMnDxVu6KdJdP6pNyk9TYD5CrqJ8fCCQrgeJDxri1JxWbNl?comment_id=1190301643064833,USR_00000022,Lenguaje Ofensivo,Lenguaje vulgar,Ninguno,General Español,Sí,Sí,No,0.82,"Usa insultos, burlas o vulgarismos sin ataque claro a característica protegida. No se observan marcas dialectales suficientes; predomina español general. Evidencia léxica (obscenidad: pendeja, pendejo).",No,,,,,,Sí
101,Dressler,Facebook,6/17/2026,"43m
Así como Argentina está 25 escalones arriba de Portugal",https://www.facebook.com/sebastian.oliva.299124?comment_id=Y29tbWVudDoxMzcyNjU0NDc1MDgyMTk3XzI2Mjg0MjcwNjQyMjY3MzA=,USER_101,Discurso de odio,Burla por nacionalidad,Personas argentinas,General Espa�ol,SI,SI,NO,0.85,requiere verificacion y validacion,No,,,,,,NO
984,Willian,X,2026-07-14,"Eso no es asambleísta, no tenemos asamblea, lo q tenemos es una cueva llena de ladrones, mafiosos y pandilleros, si mañana se cae ese edificio con todos adentro nadie los va a extrañar",https://x.com/rvillalba77/status/1565290952369004545,USER_364,Amenazas/Violencia,Amenaza Explícita Directa,Individuo (diputados) y Pandilleros,Salvadoreño,NO,NO,SI,0.75,Deseo explícito de que colapse el edificio de la Asamblea con diputados y pandilleros dentro.,NO,,,,N/A,,NO
058,Cristian,Facebook,2026-06-14,Que nos importa esos estupidos hjdpta patanes,https://www.facebook.com/virolenonoticias/posts/pfbid0Uo63A32uTAWZbW283cn31c5FkbnJFFRKS8EwXobzo3Ud28YimV5vQenrGWFeMLShl?comment_id=818730944203575,USR_00000058,Lenguaje Ofensivo,Lenguaje vulgar,Ninguno,Salvadoreño,No,No,No,0.82,"Usa insultos, burlas o vulgarismos sin ataque claro a característica protegida. Usa voseo, caliche o léxico registrado como salvadoreñismo.",No,,,,,,Sí
667,Willian,X,2026-07-13,"https://
youtu.be/D51LQ_1R-Xo?si
=WLsJvq1NvaqhFp8T
…

En el lugar de #antiguo #cuscatlan ! 
#ElSalvador y sus #destinos con #magia …

Qué hacer? Qué visitar? 
Vamos #vagando #turismo
Gracias por tu apoyo",https://x.com/AVYTAHERNANDEZ/status/1938453161636991307,USER_101,No Tóxico,N/A,N/A,Salvadoreño,NO,NO,NO,0.85,"Contenido de viaje/turismo sobre Antiguo Cuscatlán, promocional.",NO,,,,N/A,,NO
543,Willian,X,2026-07-13,"Celebra el mes de la a mistad, disfruta de los mejores destinos de El Salvador, tu eliges el lugar y nosotros ponemos los detalles. +503 718190477 
http://
ecotourspetate.com #PlayasElSalvador #ElZonte #PuroSurf #toursprivados #CenasRomanticas",https://x.com/ecopetatetours/status/963801110149509122,USER_031,No Tóxico,N/A,N/A,Español Estándar,NO,NO,NO,0.9,"Promoción turística de destinos, limpio.",NO,,,,N/A,,NO
009,Cristian,X,2026-05-24,Nada me da más cringe que lo gays con dado issues necesitados de amor y atención publicando que quieren casarse ya. Chavo sos una red flag personificada. Ve a terapia.,https://x.com/juandifiallos/status/1994091671479337097,USR_00000004,Lenguaje Ofensivo,Burla,Comunidad LGBT,Mixto,No,No,No,0.74,"Predomina tono de burla o desprecio, con toxicidad moderada. Contiene salvadoreñismos junto con marcas regionales de otro español latinoamericano. Evidencia léxica (jerga salvadoreña: sos).",No,,,,,,No
839,Willian,X,2026-07-14,"Esas son buenas noticias!!!! Acá tenemos muchos mareros que se pueden convertir en tierra para ayudar al medio ambiente 

Ya quiero que se mueran todos y que sirvan de abono",https://x.com/C0SITASERIA/status/1120679490731089920,USER_221,Amenazas/Violencia,Amenaza Explícita Directa,Pandilleros/Mareros,Salvadoreño,NO,NO,NO,0.85,"Deseo explícito de muerte masiva de mareros, con macabra referencia a composta ambiental.",NO,,,,N/A,,NO
38,Dressler,X,6/16/2026,TU PROFESOR ES UN REVERENDO PUTO QUE SE HACE EL ANTIMIGRANTES DESDE LA COMPUTADORA PERO CUANDO PASA POR LA VILLA A HACHA LA CABEZA PORQUE NO LE DAN LOS HUEVOS PARA IR Y REALMENTE HACERLA LA GUERRA A LOS INMIGRANTES DE MIERDA,https://x.com/megustareandres/status/2075607732246221153,USER_038,Discurso de odio,Xenofobia,Personas inmigrantes,General Espa�ol,NO,NO,NO,0.87,requiere verificacion y validacion,No,,,,,,NO
1150,Willian,Facebook,2026-07-14,Creo que van a tener más rápido el viaducto de los chorros que entregar el centro histórico,https://www.facebook.com/marcos.conde.75?comment_id=Y29tbWVudDoxNTMwMzkzNDAyNDY2NDI4XzE1MDQ3MjcyMDQxOTE2NTE=,USER_524,No Tóxico,N/A,N/A,Español Estándar,NO,NO,NO,0.75,"Comentario crítico sobre plazos de obras públicas, crítica legítima sin agresión.",NO,,,,N/A,,NO
845,Willian,X,2026-07-14,"Si, balas para todos los pandilleros MS13 , 18. que tanto joden al pueblo.",https://x.com/AIRBORNEGRP/status/1254538298405662721,USER_229,Amenazas/Violencia,Amenaza Explícita Directa,Pandilleros (MS13/Barrio 18),Salvadoreño,NO,NO,NO,0.85,Llamado directo y explícito a disparar contra miembros de MS13 y Barrio 18.,NO,,,,N/A,,NO
378,Cristian,Facebook,2026-06-26,BUENO YA QUERIA COMER LONGANIZA 🤷 NI MODO,https://www.facebook.com/permalink.php?story_fbid=pfbid02SEfo29ovXY8a47fVk74mcejeAx2jgvzZs9XuDUGqU7SuWWYjMdfQLZvBNVR8C3ojl&id=100076242561758&comment_id=698856105987480,USR_00000294,No Tóxico,No Aplica,Ninguno,General Español,No,No,No,0.80,"No hay insulto, amenaza ni ataque discriminatorio evidente. No se observan marcas dialectales suficientes; predomina español general.",No,,,,,,Sí
701,Willian,X,2026-07-14,"Desde el IICA Representación El Salvador celebramos con orgullo los 204 años de independencia patria.

Sigamos construyendo juntos un futuro de innovación, sostenibilidad y desarrollo para el país.

#IndependenciaSV #ElSalvador",https://x.com/iica_sv/status/1967629169166315608,USER_121,No Tóxico,N/A,N/A,Español Estándar,NO,NO,NO,0.9,"Felicitación institucional internacional por independencia, positivo.",NO,,,,N/A,,NO
1169,Willian,Facebook,2026-07-14,Que tengas una noche buena y una feliz Navidad en compañía de sus seres queridos saludos un fuerte abrazo hermosa,https://www.facebook.com/profile.php?comment_id=Y29tbWVudDoxMDE2NzI4NjA4Nzk4MDM4NV8xNzIxNjQ5MzU4MjI5OTIy,USER_543,No Tóxico,N/A,N/A,Español Estándar,NO,NO,NO,0.85,"Saludo navideño cálido, positivo.",NO,,,,N/A,,NO
441,Cristian,Facebook,2026-07-14,Bicho pndjo. Mejor deberia de ir a ver si le saca leche al burro,https://www.facebook.com/ElSalvadorNoticiasSV/posts/pfbid02swH6vNBoqntHuiKV2hswsQwba2HvygZ7qCcmV7mkMeM8WZ54KoYfngv5QibrWKocl?comment_id=2567548593585231,USR_00000044,Lenguaje Ofensivo,Lenguaje vulgar,Ninguno,Salvadoreño,No,No,No,0.82,"Usa insultos, burlas o vulgarismos sin ataque claro a característica protegida. Usa voseo, caliche o léxico registrado como salvadoreñismo. Evidencia léxica (obscenidad: pendejo).",No,,,,,,Sí
763,Willian,X,2026-07-14,"Lee foca se la llevaron por una Llamada anonima,si tubieramos independencia de poderes esto no estaria pasando,a Los terroristas mareros que Los fusilen para para que tenerlos engordando en la carcel ,pero mucha gente inocentes que tienen mas de 9 meses sin ser mareros,lee foca",https://x.com/salvadors59/status/1621528619490189312,USER_153,Amenazas/Violencia,Incitación a la Violencia (a grupo),Pandilleros/Mareros,Salvadoreño,NO,NO,NO,0.85,Llamado explícito a fusilar a mareros etiquetados como terroristas.,NO,,,,N/A,,NO
978,Willian,X,2026-07-14,"Quiero ver caminada de mareros, no a las bartolinas sino a la fosa comun",https://x.com/Gean29196218/status/1507921412215947271,USER_358,Amenazas/Violencia,Amenaza Explícita Directa,Pandilleros/Mareros,Salvadoreño,NO,NO,NO,0.85,Deseo explícito de ver a mareros marchados a fosa común en vez de celdas policiales.,NO,,,,N/A,,NO
