ID,texto_original,label,origen,plantilla_id,subclase,texto_modelo
V3-00001,"Qué p4jero, en serio",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Mirá al {t} este,Palabras obscenas,"Qué p4jero, en serio"
V3-00002,Ya son demasiados 🚽🧻 migrantes en este país,2,v3_emoji_clase2,emoji_clase2|emoji_🚽🧻,Migrantes y personas empobrecidas,Ya son demasiados :inodoro: :rollo_de_papel: migrantes en este país
V3-00003,Decile que a ese ya lo tienen fichado,3,v3_amenaza_eufemismo,amenaza_eufemismo|eufemismo_reportado,Amenaza Implícita,Decile que a ese ya lo tienen fichado
V3-00004,Los judíos dan asco y nadie lo dice 🧼🇮🇱,2,v3_emoji_clase2,emoji_clase2|emoji_🧼🇮🇱,Judíos,Los judíos dan asco y nadie lo dice :jabón: :bandera_israel:
V3-00005,"Ya cállese, p-a-j-a",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No hablés de lo que no sabés, {t}",Insulto,"Ya cállese, p-a-j-a"
V3-00006,"Todos los obesos no son gente, sin excepción 🐋",2,v3_emoji_clase2,emoji_clase2|emoji_🐋,Personas con sobrepeso,"Todos los obesos no son gente, sin excepción :ballena:"
V3-00007,Los negros 🥷 son escoria,2,v3_emoji_clase2,emoji_clase2|emoji_🥷,Afrodescendientes,Los negros :ninja: son escoria
V3-00008,Ya compré el pelota para el domingo,0,v3_jerga_control,jerga_control|Ya compré el {t} para el domingo,,Ya compré el pelota para el domingo
V3-00009,"Dejá de escribir, p*loma",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Volvé cuando aprendás, {t}",Palabras obscenas,"Dejá de escribir, p*loma"
V3-00010,Qué bonito te quedó la casa,0,v3_jerga_control,jerga_control|Qué {t} te quedó la casa,,Qué bonito te quedó la casa
V3-00011,Fuera los migrantes de nuestro país 🪲,2,v3_emoji_clase2,emoji_clase2|emoji_🪲,Migrantes y grupos étnicos,Fuera los migrantes de nuestro país :escarabajo:
V3-00012,"Mientras más gays 🏳️‍🌈🤨 llegan, peor está todo",2,v3_emoji_clase2,emoji_clase2|emoji_🏳️‍🌈🤨,Personas LGBT,"Mientras más gays :bandera_blanca: :arcoíris: :cara_con_ceja_alzada: llegan, peor está todo"
V3-00013,"Los obesos son mierda, así de simple 🐖",2,v3_emoji_clase2,emoji_clase2|emoji_🐖,Personas con sobrepeso,"Los obesos son mierda, así de simple :cerdo:"
V3-00014,"No jodás más, h4r4gan",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Puro {t} el que escribió eso,Insulto,"No jodás más, h4r4gan"
V3-00015,El equipo de los peruanos jugó limpio,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|El equipo de los {g} jugó limpio,,El equipo de los peruanos jugó limpio
V3-00016,Con gusto lo t o r t u r a rría yo mismo anotalo,3,v3_amenaza_ofuscada,amenaza_ofuscada|Con gusto lo {v}ría yo mismo,Amenaza Directa,Con gusto lo t o r t u r a rría yo mismo anotalo
V3-00017,"Por gente como vos está así el país, marerooo",2,v3_odio_ofuscado,"odio_ofuscado|Regresate de donde viniste, {t}",Xenofobia,"Por gente como vos está así el país, marerooo"
V3-00018,"Ya me hartaste, prep4qo",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Sos lo peor que hay, {t}",Insulto,"Ya me hartaste, prep4qo"
V3-00019,Ya son demasiados nicaragüenses en este país,2,v3_odio_grupo,odio_grupo|Ya son demasiados {g} en este país,Xenofobia,Ya son demasiados nicaragüenses en este país
V3-00020,El concierto estuvo increíble 🤝,0,v3_emoji_benigno,emoji_benigno|benigno_🤝,,El concierto estuvo increíble :apretón_de_manos:
V3-00021,"Todo bien con el cipote, no hay pleito",0,v3_jerga_notoxico,"jerga_notoxico|Todo bien con el {t}, no hay pleito",,"Todo bien con el cipote, no hay pleito"
V3-00022,"No sabés nada, subn0rm4l",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Hablando pura paja, {t}",Insulto,"No sabés nada, subn0rm4l"
V3-00023,"No hablés de lo que no sabés, perr@",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Puro {t} el que escribió eso,Insulto,"No hablés de lo que no sabés, perr@"
V3-00024,Ya sabés lo que te puede pasar vas a ver,3,v3_amenaza_eufemismo,amenaza_eufemismo|eufemismo_con_cola,Amenaza Implícita,Ya sabés lo que te puede pasar vas a ver
V3-00025,Andá traeme el pisto ese que dejé,0,v3_jerga_notoxico,jerga_notoxico|Andá traeme el {t} ese que dejé,,Andá traeme el pisto ese que dejé
V3-00026,"No hablés de lo que no sabés, cerote p4tad4",1,v3_jerga_ofensivo,"jerga_ofensivo|No hablés de lo que no sabés, {t}",Insulto Directo,"No hablés de lo que no sabés, cerote p4tad4"
V3-00027,"Mientras más obesos 🐷 llegan, peor está todo",2,v3_emoji_clase2,emoji_clase2|emoji_🐷,Personas con sobrepeso,"Mientras más obesos :cara_de_cerdo: llegan, peor está todo"
V3-00028,"Ya cállese, p4y4s0",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Cerrá el hocico, {t}",Insulto,"Ya cállese, p4y4s0"
V3-00029,Ningún colombiano debería estar aquí,2,v3_odio_grupo,odio_grupo|Ningún {gs} debería estar aquí,Xenofobia,Ningún colombiano debería estar aquí
V3-00030,"Me da igual lo que digas, h0c1c0",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No hablés de lo que no sabés, {t}",Insulto,"Me da igual lo que digas, h0c1c0"
V3-00031,"Mejor callate, p4l0ma",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Volvé cuando aprendás, {t}",Palabras obscenas,"Mejor callate, p4l0ma"
V3-00032,Mirá al ch4cal1n este,1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Eso es lo que sos, un {t}",Insulto,Mirá al ch4cal1n este
V3-00033,Mirá al k1pote este,1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Puro {t} el que escribió eso,Palabras obscenas,Mirá al k1pote este
V3-00034,"Qué asco das, imvec1l",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Ese {t} otra vez,Insulto,"Qué asco das, imvec1l"
V3-00035,Los indígenas tienen unas playas preciosas,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Los {g} tienen unas playas preciosas,,Los indígenas tienen unas playas preciosas
V3-00036,"Los gordos no son gente, así de simple 🐖",2,v3_emoji_clase2,emoji_clase2|emoji_🐖,Personas con sobrepeso,"Los gordos no son gente, así de simple :cerdo:"
V3-00037,"Los indígenas sobran en este país, así de simple",2,v3_odio_grupo,"odio_grupo|Los {g} {p}, así de simple",Xenofobia,"Los indígenas sobran en este país, así de simple"
V3-00038,El día amaneció bien chivo hoy,0,v3_jerga_notoxico,jerga_notoxico|El día amaneció bien {t} hoy,,El día amaneció bien chivo hoy
V3-00039,Deberían g*****r a todos esos,3,v3_amenaza_ofuscada,amenaza_ofuscada|Deberían {v} a todos esos,Amenaza Directa,Deberían g*****r a todos esos
V3-00040,Andá traeme el chunche ese que dejé,0,v3_jerga_notoxico,jerga_notoxico|Andá traeme el {t} ese que dejé,,Andá traeme el chunche ese que dejé
V3-00041,"Odio a los pobres, sobran en este país 🚽",2,v3_emoji_clase2,emoji_clase2|emoji_🚽,Migrantes y personas empobrecidas,"Odio a los pobres, sobran en este país :inodoro:"
V3-00042,"Andate de aquí, e.s.c.o.r.i.a",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Ya cállese, {t}",Insulto,"Andate de aquí, e.s.c.o.r.i.a"
V3-00043,"Mejor callate, hdpz",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Dejá de escribir, {t}",Insulto,"Mejor callate, hdpz"
V3-00044,No respondo si lo llego a liiinchar,3,v3_amenaza_ofuscada,amenaza_ofuscada|No respondo si lo llego a {v},Amenaza Directa,No respondo si lo llego a liiinchar
V3-00045,"Mejor callate, verqaso",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Nadie te preguntó, {t}",Palabras obscenas,"Mejor callate, verqaso"
V3-00046,"Los peruanos son basura, así de simple",2,v3_odio_grupo,"odio_grupo|Los {g} {p}, así de simple",Xenofobia,"Los peruanos son basura, así de simple"
V3-00047,Estudié con dos compañeros mexicanos,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Estudié con dos compañeros {g},,Estudié con dos compañeros mexicanos
V3-00048,"Que se vayan los chinos, sobran en este país",2,v3_odio_grupo,"odio_grupo|Que se vayan los {g}, {p}",Xenofobia,"Que se vayan los chinos, sobran en este país"
V3-00049,"Odio a los tarados, no son gente 🗣️👊🤤",2,v3_emoji_clase2,emoji_clase2|emoji_🗣️👊🤤,Personas con discapacidad intelectual,"Odio a los tarados, no son gente :cabeza_parlante: :puño_cerrado: :cara_babeando:"
V3-00050,"Eso es lo que sos, un fascist4",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Hablando pura paja, {t}",Insulto,"Eso es lo que sos, un fascist4"
V3-00051,"Los negros son 🌑 basura, así de simple",2,v3_emoji_clase2,emoji_clase2|emoji_🌑,Personas racializadas,"Los negros son :luna_nueva: basura, así de simple"
V3-00052,"Regresate de donde viniste, nargentin@",2,v3_odio_ofuscado,"odio_ofuscado|Gente como vos sobra, {t}",Xenofobia,"Regresate de donde viniste, nargentin@"
V3-00053,"No hablés de lo que no sabés, i-m-b-e-c-i-l",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Ese {t} otra vez,Insulto,"No hablés de lo que no sabés, i-m-b-e-c-i-l"
V3-00054,"Otra vez vos, muerto de hambr3",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No hablés de lo que no sabés, {t}",Insulto,"Otra vez vos, muerto de hambr3"
V3-00055,"Regresate de donde viniste, chapiad0r4",2,v3_odio_ofuscado,"odio_ofuscado|Regresate de donde viniste, {t}",Sexismo,"Regresate de donde viniste, chapiad0r4"
V3-00056,🧼 Ya son demasiados judíos en este país,2,v3_emoji_clase2,emoji_clase2|emoji_🧼,Judíos,:jabón: Ya son demasiados judíos en este país
V3-00057,Mirá al 🐍 cvlero este,1,v3_emoji_clase1,emoji_clase1|emoji_🐍,Individuo,Mirá al :serpiente: cvlero este
V3-00058,"No jodás más, cvlez",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Sos lo peor que hay, {t}",Palabras obscenas,"No jodás más, cvlez"
V3-00059,Hay que darles su merecido a esos,3,v3_amenaza_eufemismo,amenaza_eufemismo|eufemismo_simple,Amenaza Implícita,Hay que darles su merecido a esos
V3-00060,🏳️‍🌈👀 Fuera los homosexuales de nuestro país,2,v3_emoji_clase2,emoji_clase2|emoji_🏳️‍🌈👀,Personas LGBT,:bandera_blanca: :arcoíris: :ojos: Fuera los homosexuales de nuestro país
V3-00061,"Cerrá el hocico, manten1da",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No sabés nada, {t}",Insulto,"Cerrá el hocico, manten1da"
V3-00062,"Regresate de donde viniste, qorrona",2,v3_odio_ofuscado,"odio_ofuscado|Aquí no te queremos, {t}",Sexismo,"Regresate de donde viniste, qorrona"
V3-00063,Voy a ir a b@le@rte a tu casa esperame afuera,3,v3_amenaza_ofuscada,amenaza_ofuscada|Voy a ir a {v}te a tu casa,Amenaza Directa,Voy a ir a b@le@rte a tu casa esperame afuera
V3-00064,Ya se acabó la trabajo y todos contentos,0,v3_jerga_control,jerga_control|Ya se acabó la {t} y todos contentos,,Ya se acabó la trabajo y todos contentos
V3-00065,Ya son demasiados centroamericanos en este país 🐒🇭🇳,2,v3_emoji_clase2,emoji_clase2|emoji_🐒🇭🇳,Latinoamericanos,Ya son demasiados centroamericanos en este país :mono: :bandera_honduras:
V3-00066,"Qué onda mentiroso, todo bien por allá",0,v3_jerga_control,"jerga_control|Qué onda {t}, todo bien por allá",,"Qué onda mentiroso, todo bien por allá"
V3-00067,"Me da igual lo que digas, subn0rmal",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Volvé cuando aprendás, {t}",Insulto,"Me da igual lo que digas, subn0rmal"
V3-00068,Ya son demasiados indios en este país 🪲,2,v3_emoji_clase2,emoji_clase2|emoji_🪲,Migrantes y grupos étnicos,Ya son demasiados indios en este país :escarabajo:
V3-00069,"Me dan ganas de g.o.l.p.e.a.rlo y no es amenaza, es aviso",3,v3_amenaza_ofuscada,amenaza_ofuscada|Me dan ganas de {v}lo,Amenaza Directa,"Me dan ganas de g.o.l.p.e.a.rlo y no es amenaza, es aviso"
V3-00070,Ya llegamos bien a la casa ☕,0,v3_emoji_benigno,emoji_benigno|benigno_☕,,Ya llegamos bien a la casa :bebida_caliente:
V3-00071,"Ya me hartaste, c-u-l-o",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Puro {t} el que escribió eso,Palabras obscenas,"Ya me hartaste, c-u-l-o"
V3-00072,Los latinos 🐒🇸🇻 son mierda,2,v3_emoji_clase2,emoji_clase2|emoji_🐒🇸🇻,Latinoamericanos,Los latinos :mono: :bandera_el_salvador: son mierda
V3-00073,Los indios son basura y nadie lo dice 🪳,2,v3_emoji_clase2,emoji_clase2|emoji_🪳,Migrantes y grupos étnicos,Los indios son basura y nadie lo dice :cucaracha:
V3-00074,Ese amigo me cae bien la verdad,0,v3_jerga_control,jerga_control|Ese {t} me cae bien la verdad,,Ese amigo me cae bien la verdad
V3-00075,Alguien debería 7or7ur4r a ese tipo,3,v3_amenaza_ofuscada,amenaza_ofuscada|Alguien debería {v} a ese tipo,Amenaza Directa,Alguien debería 7or7ur4r a ese tipo
V3-00076,Ya se acabó la fiesta y todos contentos,0,v3_jerga_control,jerga_control|Ya se acabó la {t} y todos contentos,,Ya se acabó la fiesta y todos contentos
V3-00077,Los chinos traen unas recetas buenísimas,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Los {g} traen unas recetas buenísimas,,Los chinos traen unas recetas buenísimas
V3-00078,"Eso es lo que sos, un kipot3",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Cerrá el hocico, {t}",Palabras obscenas,"Eso es lo que sos, un kipot3"
V3-00079,Con gusto lo matarría yo mismo 🔫,3,v3_emoji_clase3,emoji_clase3|emoji_🔫,Individuo,Con gusto lo matarría yo mismo :pistola:
V3-00080,"Regresate de donde viniste, terrorizta",2,v3_odio_ofuscado,"odio_ofuscado|Por gente como vos está así el país, {t}",Xenofobia,"Regresate de donde viniste, terrorizta"
V3-00081,Alguien debería l*****r a ese tipo esperame afuera,3,v3_amenaza_ofuscada,amenaza_ofuscada|Alguien debería {v} a ese tipo,Amenaza Directa,Alguien debería l*****r a ese tipo esperame afuera
V3-00082,"Regresate de donde viniste, lezviana",2,v3_odio_ofuscado,"odio_ofuscado|Ojalá te deporten, {t}",Homofobia,"Regresate de donde viniste, lezviana"
V3-00083,"Sos lo peor que hay, p3ndej0",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Mejor callate, {t}",Insulto,"Sos lo peor que hay, p3ndej0"
V3-00084,Los colombianos sobran en este país,2,v3_odio_grupo,odio_grupo|Los {g} {p},Xenofobia,Los colombianos sobran en este país
V3-00085,"🧟 Qué pereza leerte, v@go",1,v3_emoji_clase1,emoji_clase1|emoji_🧟,Colectivo político,":zombi: Qué pereza leerte, v@go"
V3-00086,"Me da igual lo que digas, os1ko",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Eso es lo que sos, un {t}",Insulto,"Me da igual lo que digas, os1ko"
V3-00087,"Los chinos son escoria, así de simple",2,v3_odio_grupo,"odio_grupo|Los {g} {p}, así de simple",Xenofobia,"Los chinos son escoria, así de simple"
V3-00088,Los ignorantes son mierda 😈📕 y nadie lo dice,2,v3_emoji_clase2,emoji_clase2|emoji_😈📕,Personas con baja educación,Los ignorantes son mierda :cara_sonriendo_con_cuernos: :libro_cerrado: y nadie lo dice
V3-00089,"Le van a apagar la luz a ese maje y no es amenaza, es aviso",3,v3_amenaza_eufemismo,amenaza_eufemismo|eufemismo_con_cola,Amenaza Implícita,"Le van a apagar la luz a ese maje y no es amenaza, es aviso"
V3-00090,Los retrasados 🗣️👊🤤 son puro estorbo,2,v3_emoji_clase2,emoji_clase2|emoji_🗣️👊🤤,Personas con discapacidad intelectual,Los retrasados :cabeza_parlante: :puño_cerrado: :cara_babeando: son puro estorbo
V3-00091,El concierto ⚽ estuvo increíble,0,v3_emoji_benigno,emoji_benigno|benigno_⚽,,El concierto :balón_de_fútbol: estuvo increíble
V3-00092,"Que se vayan los retrasados, son basura 🤤",2,v3_emoji_clase2,emoji_clase2|emoji_🤤,Personas con discapacidad intelectual,"Que se vayan los retrasados, son basura :cara_babeando:"
V3-00093,"Si lo vuelvo a ver lo voy a b@le@r y no es amenaza, es aviso",3,v3_amenaza_ofuscada,amenaza_ofuscada|Si lo vuelvo a ver lo voy a {v},Amenaza Directa,"Si lo vuelvo a ver lo voy a b@le@r y no es amenaza, es aviso"
V3-00094,Vinieron unos cubanos a la actividad,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Vinieron unos {g} a la actividad,,Vinieron unos cubanos a la actividad
V3-00095,"Andate de aquí, se l4 p1ca",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Andá a trabajar, {t}",Palabras obscenas,"Andate de aquí, se l4 p1ca"
V3-00096,"Me da igual lo que digas, h1ju3put4",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Callate ya, {t}",Insulto,"Me da igual lo que digas, h1ju3put4"
V3-00097,"Callate ya, j-o-d-i-d-o",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Dejá de escribir, {t}",Tono agresivo,"Callate ya, j-o-d-i-d-o"
V3-00098,Los judíos sobran en este país 🙋‍♂️,2,v3_emoji_clase2,emoji_clase2|emoji_🙋‍♂️,Judíos,Los judíos sobran en este país :persona_con_la_mano_levantada: :signo_masculino:
V3-00099,"Andate de aquí, o*ico",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Qué pereza leerte, {t}",Insulto,"Andate de aquí, o*ico"
V3-00100,Sos un tuf0 y punto,1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Andate de aquí, {t}",Insulto,Sos un tuf0 y punto
V3-00101,Ya sabe que le van a pasar factura,3,v3_amenaza_eufemismo,amenaza_eufemismo|eufemismo_reportado,Amenaza Implícita,Ya sabe que le van a pasar factura
V3-00102,Sos un vab0so y punto,1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Qué {t}, en serio",Insulto,Sos un vab0so y punto
V3-00103,"Todos los argentinos son mierda, sin excepción",2,v3_odio_grupo,"odio_grupo|Todos los {g} {p}, sin excepción",Xenofobia,"Todos los argentinos son mierda, sin excepción"
