ID,Plataforma,fecha,Usuario_ID_Anonimizado,texto_original,texto_modelo,texto_agresivo,clase,label,subclase,Grupos_Afectados,Presencia_Sarcasmo,Presencia_Ironia,Contexto_Politico,n_chars,n_palabras,n_emojis,n_menciones,n_hashtags,n_jerga,origen,plantilla_id
SYN-1023,X,,SINTETICO,Ya está bueno de aguantar 🦶 a esos en el barrio,Ya está bueno de aguantar :pie: a esos en el barrio,ya esta bueno de aguantar a esos en el barrio,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,47,11,1,0,0,0,sintetico_relleno_emoji,RELL-0143
SYN-1019,X,,SINTETICO,Esa gente no merece los mismos derechos que nosotros 😈📕,Esa gente no merece los mismos derechos que nosotros :cara_sonriendo_con_cuernos: :libro_cerrado:,esa gente no merece los mismos derechos que nosotros,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,55,10,2,0,0,0,sintetico_relleno_emoji,RELL-0139
SYN-0957,Facebook,,SINTETICO,"No entiendo cómo los dejan entrar, son 🍍","No entiendo cómo los dejan entrar, son :piña:",no entiendo como los dejan entrar son,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,40,8,1,0,0,0,sintetico_relleno_emoji,RELL-0077
498,X,2026-07-14,USER_498,"Una buena noticia seria que habria fallecido en el hecho,estos cobardes delincuentes no merecen que se les mantengan en prision y de nuestros impuestos estarles dando de artar,queremos plomo contra los mareros y terroristas","Una buena noticia seria que habria fallecido en el hecho,estos cobardes delincuentes no merecen que se les mantengan en prision y de nuestros impuestos estarles dando de artar,queremos plomo contra los mareros y terroristas",una buena noticia seria que habria fallecido en el hecho estos cobardes delincuentes no merecen que se les mantengan en prision y de nuestros impuestos estarles dando de artar queremos plomo contra los mareros y terroristas,Amenazas/Violencia,3,Deseo de Daño,Pandilleros/Mareros,NO,NO,NO,223,34,0,0,0,2,real,
SYN-0257,X,,SINTETICO,Los migrantes aportan bastante a la economía 👍 del país,Los migrantes aportan bastante a la economía :pulgar_hacia_arriba: del país,los migrantes aportan bastante a la economia del pais,No Tóxico,0,,,NO,NO,NO,55,10,1,0,0,0,sintetico_nacionalidad_notoxico,NT-NAC-0032
186,X,2026-07-13,USER_186,Carmen Salinas Estudió en la Universidad de El Salvador Desde 1997 se desempeña como Jefa de Biblioteca en el ISSS. Fue presidenta en la Asociación de Bibliotecarios de El Salvador en el 2006 al 2008. #OrgulloABES #Bibliotecaria #MujerSalvadoreña #TODOSSOMOSABES,Carmen Salinas Estudió en la Universidad de El Salvador Desde 1997 se desempeña como Jefa de Biblioteca en el ISSS. Fue presidenta en la Asociación de Bibliotecarios de El Salvador en el 2006 al 2008. #OrgulloABES #Bibliotecaria #MujerSalvadoreña #TODOSSOMOSABES,carmen salinas estudio en la universidad de el salvador desde se desempena como jefa de biblioteca en el isss fue presidenta en la asociacion de bibliotecarios de el salvador en el al orgulloabes bibliotecaria mujersalvadorena todossomosabes,No Tóxico,0,,,NO,NO,NO,262,39,0,0,4,0,real,
2965,X,2026-06-19,USER_2965,Se integran? No has pisado jamás una villa para ver la mugre que son. No construyen y no progresan; son la antítesis del ciudadano argentino. Igual de mugre que los venezolanos de mierda. Este país se deja bajar los pantalones por cualquiera marron.,Se integran? No has pisado jamás una villa para ver la mugre que son. No construyen y no progresan; son la antítesis del ciudadano argentino. Igual de mugre que los venezolanos de mierda. Este país se deja bajar los pantalones por cualquiera marron.,se integran no has pisado jamas una villa para ver la mugre que son no construyen y no progresan son la antitesis del ciudadano argentino igual de mugre que los venezolanos de mierda este pais se deja bajar los pantalones por cualquiera marron,Discurso de Odio,2,Xenofobia,Personas latinoamericanas,NO,NO,NO,249,43,0,0,0,1,real,
792,Facebook,2026-07-18,USER_792,Muy poco necesitan más o que los esperamos que salgan y tomamos cuenta nosotros,Muy poco necesitan más o que los esperamos que salgan y tomamos cuenta nosotros,muy poco necesitan mas o que los esperamos que salgan y tomamos cuenta nosotros,Amenazas/Violencia,3,Amenaza Implícita,Individuo/Grupo (reos mencionados en el post),NO,NO,NO,79,14,0,0,0,0,real,
1289,Facebook,2026-07-12,USER_1289,Parásitos mal habidos 😒,Parásitos mal habidos :cara_de_desaprobación:,parasitos mal habidos,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,SÍ,SÍ,NO,23,4,1,0,0,1,real,
SYN-1040,X,,SINTETICO,Esa gente no merece los mismos derechos que nosotros 🐶,Esa gente no merece los mismos derechos que nosotros :cara_de_perro:,esa gente no merece los mismos derechos que nosotros,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,54,10,1,0,0,0,sintetico_relleno_emoji,RELL-0160
SYN-0986,Facebook,,SINTETICO,Puros son los que llegan a este país 🤤,Puros son los que llegan a este país :cara_babeando:,puros son los que llegan a este pais,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,38,9,1,0,0,0,sintetico_relleno_emoji,RELL-0106
1926,X,2026-06-14,USER_1926,"En el Salvador se permite la reelección y la gente quiere que siga Bukele, pedazo de imbécil De Cuba nada que decir? Estupudin Pinche chairo básico","En el Salvador se permite la reelección y la gente quiere que siga Bukele, pedazo de imbécil De Cuba nada que decir? Estupudin Pinche chairo básico",en el salvador se permite la reeleccion y la gente quiere que siga bukele pedazo de imbecil de cuba nada que decir estupudin pinche chairo basico,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,SÍ,147,26,0,0,0,2,real,
98,X,2026-07-13,USER_098,#PerriCuarentena #GatiCuarentena suban a los de Uds #MascotasSV @Anayancy @anamabelq @Ninitarios @EstelaPerversa @ACDinarte,#PerriCuarentena #GatiCuarentena suban a los de Uds #MascotasSV @usuario @usuario @usuario @usuario @usuario,perricuarentena gaticuarentena suban a los de uds mascotassv usuario usuario usuario usuario usuario,No Tóxico,0,,,NO,NO,NO,123,13,0,5,3,0,real,
527,Facebook,2026-07-14,USER_527,SII PRONTO Y CON CARA DE BABY MESHY,SII PRONTO Y CON CARA DE BABY MESHY,sii pronto y con cara de baby meshy,No Tóxico,0,,,NO,NO,NO,35,8,0,0,0,1,real,
2087,Facebook,2026-06-11,USER_2087,Ustedes son los pendejos noben que siguiendo un mañoso curructo y solo preguntense de donde saco dinero para ayudar a jamaica,Ustedes son los pendejos noben que siguiendo un mañoso curructo y solo preguntense de donde saco dinero para ayudar a jamaica,ustedes son los pendejos noben que siguiendo un manoso curructo y solo preguntense de donde saco dinero para ayudar a jamaica,Lenguaje Ofensivo,1,Insulto Directo,Seguidores políticos,NO,NO,SI,125,21,0,0,0,1,real,
SYN-0136,X,,SINTETICO,"A huevo que sí, ahí nos vemos entonces 👍","A huevo que sí, ahí nos vemos entonces :pulgar_hacia_arriba:",a huevo que si ahi nos vemos entonces,No Tóxico,0,,,NO,NO,NO,40,9,1,0,0,0,sintetico_jerga_notoxico,NT-JER-0011
