grupo,base,variante,texto,esperado,pred_crudo,conf_crudo,pred_normalizado,conf_normalizado,texto_norm
A. Ofuscación de groserías,Sos una puta barata,original,Sos una puta barata,1,1,0.4829762563944857,1,0.4829762187214196,Sos una puta barata
A. Ofuscación de groserías,Sos una puta barata,asterisco,Sos una p*ta barata,1,1,0.922924394360612,1,0.9229243953502372,Sos una p*ta barata
A. Ofuscación de groserías,Sos una puta barata,arroba,Sos una put@ barata,1,1,0.9109132303924441,1,0.9109132530768558,Sos una put@ barata
A. Ofuscación de groserías,Sos una puta barata,numeral,Sos una p#ta barata,1,1,0.8084781644307795,1,0.8084781180594007,Sos una p#ta barata
A. Ofuscación de groserías,Sos una puta barata,leetspeak,Sos una pu74 barata,1,1,0.8960377173488904,1,0.8960377172671082,Sos una pu74 barata
A. Ofuscación de groserías,Sos una puta barata,vocal_v,Sos una pvta barata,1,1,0.939559690623859,1,0.9395596945629139,Sos una pvta barata
A. Ofuscación de groserías,Sos una puta barata,espaciado,Sos una p u t a barata,1,1,0.566965440085128,1,0.5669651979520249,Sos una p u t a barata
A. Ofuscación de groserías,Sos una puta barata,repeticion,Sos una puuuta barata,1,1,0.8342789419416609,1,0.834278906793521,Sos una puuuta barata
A. Ofuscación de groserías,Qué mierda de gente,original,Qué mierda de gente,1,1,0.9477677638605141,1,0.9477677619875713,Qué mierda de gente
A. Ofuscación de groserías,Qué mierda de gente,leetspeak,Qué m13rda de gente,1,1,0.9470624633243384,1,0.9470624613569285,Qué m13rda de gente
A. Ofuscación de groserías,Qué mierda de gente,asterisco,Qué m*erda de gente,1,1,0.9289922261930618,1,0.9289922315555391,Qué m*erda de gente
A. Ofuscación de groserías,Qué mierda de gente,arroba,Qué mierd@ de gente,1,1,0.9476683850335603,1,0.9476683841433701,Qué mierd@ de gente
A. Ofuscación de groserías,Andate a la verga pendejo,original,Andate a la verga pendejo,1,1,0.9300382470050277,1,0.9300382415141091,Andate a la verga pendejo
A. Ofuscación de groserías,Andate a la verga pendejo,leetspeak,Andate a la v3rg4 p3nd3j0,1,1,0.9366672821382342,1,0.9366672764421254,Andate a la v3rg4 p3nd3j0
A. Ofuscación de groserías,Andate a la verga pendejo,asterisco,Andate a la v*rga p*ndejo,1,1,0.9510147070515166,1,0.9510147083850234,Andate a la v*rga p*ndejo
A. Ofuscación de groserías,Andate a la verga pendejo,numeral,Andate a la v#rga p#ndejo,1,1,0.8218754672333165,1,0.8218754719371607,Andate a la v#rga p#ndejo
A. Ofuscación de groserías,Son unos hijos de puta,original,Son unos hijos de puta,1,2,0.893865928154671,2,0.8938659378544128,Son unos hijos de puta
A. Ofuscación de groserías,Son unos hijos de puta,sigla,Son unos HDP,1,1,0.4172934877570307,1,0.4172935811798077,Son unos HDP
A. Ofuscación de groserías,Son unos hijos de puta,leetspeak,Son unos hij0s d3 pu74,1,2,0.7887722439752698,2,0.7887722495849702,Son unos hij0s d3 pu74
A. Ofuscación de groserías,Son unos hijos de puta,asterisco,Son unos hijos de p***,1,2,0.8488720789246256,2,0.8488720696214687,Son unos hijos de p***
B. Emojis,Insulto por emoji,solo_texto,Mira a este tipo,1,3,0.7924057886696847,3,0.7924057296264512,Mira a este tipo
B. Emojis,Insulto por emoji,con_payaso,Mira a este tipo 🤡,1,1,0.8127117170937959,1,0.9638688233662683,Mira a este tipo :cara_de_payaso:
B. Emojis,Insulto por emoji,con_caca,Mira a este tipo 💩,1,3,0.4976475999055633,1,0.9625855266274103,Mira a este tipo :caca_con_ojos:
B. Emojis,Insulto por emoji,con_dedo,Mira a este tipo 🖕,1,3,0.4976475999055633,1,0.9631622622202023,Mira a este tipo :dedo_corazón_hacia_arriba:
B. Emojis,Insulto por emoji,con_dedo_tono,Mira a este tipo 🖕🏽,1,1,0.5589190839784992,1,0.9631622644133243,Mira a este tipo :dedo_corazón_hacia_arriba:
