ID,familia,base,variante,texto,esperado,pred_mbert_v1,pred_mbert_b2,pred_xlmr_v1,pred_xlmr_mit,texto_norm,norm_mbert_v1,norm_mbert_b2,norm_xlmr_v1,norm_xlmr_mit
SND-0001,1. Ofuscación de groserías,"Callate ya, puta",original,"Callate ya, puta",1,1,1,1,0,"Callate ya, puta",1,1,1,0
SND-0002,1. Ofuscación de groserías,"Callate ya, puta",asterisco,"Callate ya, p**a",1,1,3,1,1,"Callate ya, p**a",1,3,1,1
SND-0003,1. Ofuscación de groserías,"Callate ya, puta",arroba,"Callate ya, put@",1,1,3,1,2,"Callate ya, put@",1,3,1,2
SND-0004,1. Ofuscación de groserías,"Callate ya, puta",numeral,"Callate ya, puta",1,1,1,1,0,"Callate ya, puta",1,1,1,0
SND-0005,1. Ofuscación de groserías,"Callate ya, puta",leet_i,"Callate ya, put4",1,1,3,1,3,"Callate ya, put4",1,3,1,3
SND-0006,1. Ofuscación de groserías,"Callate ya, puta",leet_s,"Callate ya, pu7a",1,1,1,1,3,"Callate ya, pu7a",1,1,1,3
SND-0007,1. Ofuscación de groserías,"Callate ya, puta",punto,"Callate ya, p.u.t.a",1,1,1,1,3,"Callate ya, p.u.t.a",1,1,1,3
SND-0008,1. Ofuscación de groserías,"Callate ya, puta",espaciado,"Callate ya, p u t a",1,1,3,3,3,"Callate ya, p u t a",1,3,3,3
SND-0009,1. Ofuscación de groserías,"Callate ya, puta",repeticion,"Callate ya, puuuuta",1,1,1,1,3,"Callate ya, puuuuta",1,1,1,3
SND-0010,1. Ofuscación de groserías,"Callate ya, puta",acento,"Callate ya, putá",1,1,0,3,3,"Callate ya, putá",1,0,3,3
SND-0011,1. Ofuscación de groserías,"Callate ya, puta",mayus,"Callate ya, PUTA",1,1,1,0,3,"Callate ya, PUTA",1,1,0,3
SND-0012,1. Ofuscación de groserías,Esas viejas son unas putas,original,Esas viejas son unas putas,1,1,1,2,2,Esas viejas son unas putas,1,1,2,2
SND-0013,1. Ofuscación de groserías,Esas viejas son unas putas,asterisco,Esas viejas son unas p***s,1,1,1,1,2,Esas viejas son unas p***s,1,1,1,2
SND-0014,1. Ofuscación de groserías,Esas viejas son unas putas,arroba,Esas viejas son unas put@s,1,1,1,1,2,Esas viejas son unas put@usuario,1,1,1,1
SND-0015,1. Ofuscación de groserías,Esas viejas son unas putas,numeral,Esas viejas son unas putas,1,1,1,2,2,Esas viejas son unas putas,1,1,2,2
SND-0016,1. Ofuscación de groserías,Esas viejas son unas putas,leet_i,Esas viejas son unas put4s,1,1,1,1,2,Esas viejas son unas put4s,1,1,1,2
SND-0017,1. Ofuscación de groserías,Esas viejas son unas putas,leet_s,Esas viejas son unas pu7a5,1,1,1,1,1,Esas viejas son unas pu7a5,1,1,1,1
SND-0018,1. Ofuscación de groserías,Esas viejas son unas putas,punto,Esas viejas son unas p.u.t.a.s,1,1,1,1,1,Esas viejas son unas p.u.t.a.s,1,1,1,1
SND-0019,1. Ofuscación de groserías,Esas viejas son unas putas,espaciado,Esas viejas son unas p u t a s,1,1,1,1,2,Esas viejas son unas p u t a s,1,1,1,2
SND-0020,1. Ofuscación de groserías,Esas viejas son unas putas,repeticion,Esas viejas son unas puuuutas,1,1,1,1,1,Esas viejas son unas puuuutas,1,1,1,1
SND-0021,1. Ofuscación de groserías,Esas viejas son unas putas,acento,Esas viejas son unas putás,1,1,1,1,2,Esas viejas son unas putás,1,1,1,2
SND-0022,1. Ofuscación de groserías,Esas viejas son unas putas,mayus,Esas viejas son unas PUTAS,1,1,1,1,2,Esas viejas son unas PUTAS,1,1,1,2
SND-0023,1. Ofuscación de groserías,Qué pendejo sos,original,Qué pendejo sos,1,1,1,1,1,Qué pendejo sos,1,1,1,1
SND-0024,1. Ofuscación de groserías,Qué pendejo sos,asterisco,Qué p*****o sos,1,0,1,1,1,Qué p*****o sos,0,1,1,1
SND-0025,1. Ofuscación de groserías,Qué pendejo sos,arroba,Qué pendejo sos,1,1,1,1,1,Qué pendejo sos,1,1,1,1
SND-0026,1. Ofuscación de groserías,Qué pendejo sos,numeral,Qué p#nd#j# sos,1,0,0,1,1,Qué p#nd#j# sos,0,0,1,1
SND-0027,1. Ofuscación de groserías,Qué pendejo sos,leet_i,Qué p3nd3j0 sos,1,1,1,1,1,Qué p3nd3j0 sos,1,1,1,1
SND-0028,1. Ofuscación de groserías,Qué pendejo sos,leet_s,Qué pendejo sos,1,1,1,1,1,Qué pendejo sos,1,1,1,1
SND-0029,1. Ofuscación de groserías,Qué pendejo sos,punto,Qué p.e.n.d.e.j.o sos,1,2,1,1,1,Qué p.e.n.d.e.j.o sos,2,1,1,1
SND-0030,1. Ofuscación de groserías,Qué pendejo sos,espaciado,Qué p e n d e j o sos,1,1,3,1,1,Qué p e n d e j o sos,1,3,1,1
