ID,emoji,descripcion_uso,clase_asociada,subclase,grupos_afectados,n_codepoints
EMO-001,🐒,Bestialización racial: comparar latinoamericanos con monos o simios,Discurso de Odio,Bestialización,Latinoamericanos,1
EMO-002,🐒🇲🇽,Bestialización racial: comparar latinoamericanos con monos o simios,Discurso de Odio,Bestialización,Latinoamericanos,3
EMO-003,🐒🇦🇷,Bestialización racial: comparar latinoamericanos con monos o simios,Discurso de Odio,Bestialización,Latinoamericanos,3
EMO-004,🐒🇪🇨,Bestialización racial: comparar latinoamericanos con monos o simios,Discurso de Odio,Bestialización,Latinoamericanos,3
EMO-005,🐒🇻🇪,Bestialización racial: comparar latinoamericanos con monos o simios,Discurso de Odio,Bestialización,Latinoamericanos,3
EMO-006,🐒🇭🇳,Bestialización racial: comparar latinoamericanos con monos o simios,Discurso de Odio,Bestialización,Latinoamericanos,3
EMO-007,🐒🇸🇻,Bestialización racial: comparar latinoamericanos con monos o simios,Discurso de Odio,Bestialización,Latinoamericanos,3
EMO-008,🧼🇮🇱,Antisemitismo eliminacionista: alusión al Holocausto mediante el jabón,Discurso de Odio,Antisemitismo,Judíos,3
EMO-009,🧼,Antisemitismo eliminacionista: alusión al Holocausto mediante el jabón,Discurso de Odio,Antisemitismo,Judíos,1
EMO-010,🧃,Juego de palabras 'jugo'/'judío' para evadir filtros de palabras,Discurso de Odio,Antisemitismo,Judíos,1
EMO-011,🍍,Cosificación sexual de menores encubierta,Discurso de Odio,Cosificación infantil,Menores de edad,1
EMO-012,🏳️‍🌈🤨,Señalamiento burlesco de la orientación sexual o identidad de género,Discurso de Odio,Homofobia,Personas LGBT,5
EMO-013,🏳️‍🌈👀,Señalamiento burlesco de la orientación sexual o identidad de género,Discurso de Odio,Homofobia,Personas LGBT,5
EMO-014,🗣️👊🤤,Insulto capacitista a la inteligencia,Discurso de Odio,Capacitismo,Personas con discapacidad intelectual,4
EMO-015,🤤,Insulto capacitista a la inteligencia,Discurso de Odio,Capacitismo,Personas con discapacidad intelectual,1
EMO-016,🤮🙈,Desprecio racial hacia personas de tez oscura,Discurso de Odio,Racismo,Personas racializadas,2
EMO-017,👴💀,Burla por edad avanzada,Discurso de Odio,Edadismo,Adultos mayores,2
EMO-018,👴👻,Burla por edad avanzada,Discurso de Odio,Edadismo,Adultos mayores,2
EMO-019,🥷,Insulto racial hacia personas negras o morenas,Discurso de Odio,Racismo,Afrodescendientes,1
EMO-020,😈📕,Estigmatización de personas con baja escolaridad,Discurso de Odio,Clasismo,Personas con baja educación,2
EMO-021,🦶,Referencia despectiva a personas morenas,Discurso de Odio,Racismo,Personas racializadas,1
EMO-022,🙋‍♂️,Saludo nazi encubierto en discusiones sobre Israel,Discurso de Odio,Antisemitismo,Judíos,4
EMO-023,🐀,"Comparación con ratas: desprecio, suciedad, invasión",Discurso de Odio,Aporofobia,Migrantes y personas empobrecidas,1
EMO-024,🐁,"Comparación con ratas: desprecio, suciedad, invasión",Discurso de Odio,Aporofobia,Migrantes y personas empobrecidas,1
EMO-025,🐷,Comparación con cerdos: gordofobia o desprecio racial,Discurso de Odio,Gordofobia,Personas con sobrepeso,1
EMO-026,🐖,Comparación con cerdos: gordofobia o desprecio racial,Discurso de Odio,Gordofobia,Personas con sobrepeso,1
EMO-027,🐕,Comparación con perros: sumisión o clase baja,Discurso de Odio,Aporofobia,Personas en situación de pobreza,1
EMO-028,🐶,Comparación con perros: sumisión o clase baja,Discurso de Odio,Aporofobia,Personas en situación de pobreza,1
EMO-029,🐍,Asociación con traición y maldad,Lenguaje Ofensivo,Tono Agresivo,Individuo,1
EMO-030,🧠❓,Burla sobre falta de inteligencia,Discurso de Odio,Capacitismo,Personas con discapacidad intelectual,2
EMO-031,🧠🚫,Burla sobre falta de inteligencia,Discurso de Odio,Capacitismo,Personas con discapacidad intelectual,2
