prefijo,fuente,texto,n1,n2,n3
(ninguno),C,Te voy a matar,3,3,3
(ninguno),C,Te voy a m4t4r,3,3,3
(ninguno),C,Te voy a m*tar,3,3,3
(ninguno),C,Te voy a dar piso,3,3,3
(ninguno),C,Ya sabés lo que te va a pasar,3,3,3
(ninguno),C,Hay que matarlos a todos,3,3,3
(ninguno),C,Hay que m4t4rl0s a todos,3,3,3
(ninguno),C,Hay que darles cuello a todos,3,3,3
(ninguno),C,"Bien hecho que lo mataron, uno menos",3,3,3
(ninguno),C,Ojalá se muera ese maldito,3,3,3
(ninguno),C,Ojalá se m*era ese maldito,3,3,3
(ninguno),G,Ya sabés lo que te espera :pistola_de_agua:,1,1,1
(ninguno),G,Ya sabés lo que te espera :ataúd:,1,1,1
(ninguno),G,Te voy a buscar mañana :cuchillo_de_cocina:,1,1,1
(ninguno),G,Te voy a buscar mañana :calavera:,1,1,1
(ninguno),G,Ahí viene el grupo de siempre :escoba:,1,1,1
(ninguno),G,No lo quiero ver más por aquí :pistola_de_agua:,1,1,1
(ninguno),test_real,Pobre perrito Amárrenla a ella ahí mismo para ver si le gusta quedarse ahí,1,1,1
(ninguno),test_real,No creo que no les puedan montar verga a 2 monos cerotes,1,1,1
(ninguno),test_real,"Esta es la ley: Marero visto, Marero muerto",3,3,3
(ninguno),test_real,Que mueran así por idiotas hay disculpen no ellos mismos se quieren y quien va tener lástima por ellos al menos yo excelente,3,3,3
(ninguno),test_real,"Los mareros lo que necesitan para portarse bien es un balazo en la frente ... Así nada malo van a hacer después, ya verán",3,3,3
(ninguno),test_real,"Una o ambas posibles opciones: 1. Alguno o varios de sus hijos mareros presos en el #CECOT 2. Desalojada de su puesto informal en el #CHSS Allí dejen que se ahoguen con su propia rabia, es buena señal pues significa que se estan haciendo bien las cosas.",3,3,3
(ninguno),test_real,"Así deveria de pedir cuentas de tanto desparecido de sus ""amiguitos"" mareros.. y esta bien que los desaparezca la policía cual es el problema de nada sirven.. muerto el perro se acaba la rabia! Buen trabajo PNC Y FAES!!",3,3,3
(ninguno),test_real,Norman KokoBass mmmm bueno no te había entendido pero si esta magnífica esa idea así se podría sacar si quiera algo bueno de esos tipos,1,1,1
(ninguno),test_real,Aserle propaganda Aese parásito que tanto dañó le iso al pueblo.que dios me perdone pero por mi que se pudra en el infierno,3,3,3
(ninguno),test_real,"Está perfecto, ojalá la estadística fuese más abultada, unos 10 pandilleros y asesinos mueren por día en El Salvador... Nadie los va a extrañar a esos hputa.",3,3,3
(ninguno),test_real,Me sumo al combate de los parasitos pandilleros....deben de desaparecer del mapa salvadoreño....buen día a la gente trabajadora y honrada,3,3,3
(ninguno),test_real,Han de ser mareros... dejenlos que se ahoguen!,3,3,3
(ninguno),test_real,Elizabeth Fernández Aquí los linchamos,0,0,0
(ninguno),test_real,a estos malditos mareros hay que exterminarlos con o sin virus,3,3,3
(ninguno),test_real,Esos malditos mareros deben de pagar con su vida y los que les colaboran deben de podrirse en la cárcel,3,3,3
(ninguno),test_real,"EVANGÉLICOS HIJOS DE LA GRAN PUTA! SON LA PEOR MIERDA, DE ESE MAL PROVIENEN TODOS LOS DEMÁS. HAY QUE ACABAR A TODOS ESOS PANDERETOS! SECTAS REFUGIO DE NARCOS, LAVADORES, LADRONES, ESTAFADORES, EXTORSIONISTAS, MAREROS, CORRUPTOS, MAÑOSOS, SICARIOS, VIOLADORES Y GENTUZA MIERDA",3,3,3
(ninguno),test_real,"#AmenazaHospital @usuario mejor 300 mareros muertos antes que un Dr, se esta llegando a un punto peligroso de inflexión social, OJO!",3,3,3
(ninguno),test_real,"Futuro marero, y la culpa la tienen las madres solteras que tienen hijos de delincuentes, drogadictos, alcohólicas y mareros estos niños deben ser eliminados de la sociedad para tener un mejor país..",3,3,3
(ninguno),test_real,También el pueblo lo quiere linchar ya sea con fuero ó sin fuero la taleguiada que nosotros le queremos dar a estos NarcoDiputados mareros no se escapan.. Ademas no saben que la linchada no es nada de lo que les tienen preparados los de Arena y sus financistas si no los asesinan,3,3,3
(ninguno),test_real,"Todo el peso de ley a ese monstruo abusador de menores. Y los padres de esa niña donde andaban que no se dieron cuenta que había desaparecido, ese desgraciado que le castren para que aprenda a respetar la niñez.",3,3,3
(ninguno),test_real,"Cómo puede comparar este señor a los judíos con mareros? Los judíos fueron exterminados por creerlos inferiores. A los delincuentes deseamos pena capital por que has asesinado, volado, asaltado, robado etc al pueblo Salvadoreño. Es o se hace?",3,3,3
(ninguno),test_real,Esa escoria no merece vivir y así todos los k han cometido crimenes,3,3,3
(ninguno),test_real,la cosa es que no ha topado con uno que de verdad tenga los en su lugar y le pegue una de respeto que lo deje comiendo con cucharita y un su mes en cama a ver si no se le quita lo,3,3,3
(ninguno),test_real,"¡Qué derechos humanos ni qué nada! Los pandilleros, TODOS merecen morir y de forma cruel. ¡Derechos humanos su madre!",3,3,3
(ninguno),test_real,La maitra tambien para el cwcot por ser tan mierda y parir escorias de la sociedad,1,1,1
(ninguno),test_real,Nau Ascencio otro que quiere ser protagonista !!! Calma ya le llegará su película!!! de barato,1,1,1
(ninguno),test_real,Ojalá se pudra y pague todo el mal que ahecho,3,3,3
(ninguno),test_real,Fea muerte por malo,3,3,3
(ninguno),test_real,Porque no los duermen de un solo mejor. Es lo mejor,3,3,3
(ninguno),test_real,Todos sufrimos el problema. Hasta las demoras más buenas que conozco dicen. Desgraciados mareros. Ojalá los maten. Ojalá se los acaben.,3,3,3
